"",BBK01.OEAH21R,BBK01.OEAH21R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:40,
2002-01,0.080,
2002-04,0.076,
2002-07,0.073,
2002-10,0.091,
2003-01,0.086,
2003-04,0.084,
2003-07,0.099,
2003-10,0.097,
2004-01,0.086,
2004-04,0.083,
2004-07,0.075,
2004-10,0.058,
2005-01,0.104,
2005-04,0.104,
2005-07,0.096,
2005-10,0.090,
2006-01,0.088,
2006-04,0.096,
2006-07,0.091,
2006-10,0.092,
2007-01,0.089,
2007-04,0.089,
2007-07,0.088,
2007-10,0.085,
2008-01,0.080,
2008-04,0.079,
2008-07,0.079,
2008-10,0.084,
2009-01,0.094,
2009-04,0.100,
2009-07,0.109,
2009-10,0.123,
2010-01,0.130,
2010-04,0.132,
2010-07,0.130,
2010-10,0.133,
2011-01,0.143,
2011-04,0.139,
2011-07,0.153,
2011-10,0.153,
2012-01,0.169,
2012-04,0.185,
2012-07,0.184,
2012-10,0.176,
2013-01,0.355,
2013-04,0.178,
2013-07,0.179,
2013-10,0.253,
2014-01,0.207,
2014-04,0.275,
2014-07,0.275,
