"",BBK01.CEHV30,BBK01.CEHV30_FLAGS
"",longer-term savings deposits  debtor: Monetary financial institutions                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:58,
1991-01,-1.6,
1991-04,0.5,
1991-07,-1.8,
1991-10,3.0,
1992-01,-0.8,
1992-04,0.8,
1992-07,0.5,
1992-10,4.5,
1993-01,-1.4,
1993-04,3.5,
1993-07,5.2,
1993-10,5.8,
1994-01,-0.3,
1994-04,2.7,
1994-07,2.4,
1994-10,2.4,
1995-01,-1.6,
1995-04,2.6,
1995-07,1.6,
1995-10,-0.5,
1996-01,-2.6,
1996-04,-3.0,
1996-07,-2.0,
1996-10,-2.9,
1997-01,-3.3,
1997-04,-3.4,
1997-07,-2.0,
1997-10,-2.3,
1998-01,-1.6,
1998-04,-3.0,
1998-07,-0.5,
1998-10,-1.4,
1999-01,-3.3,
1999-04,-6.5,
1999-07,-1.1,
1999-10,-1.0,
2000-01,2.1,
2000-04,3.6,
2000-07,6.6,
2000-10,1.4,
2001-01,0.9,
2001-04,-2.8,
2001-07,-2.2,
2001-10,-6.5,
2002-01,-4.9,
2002-04,-2.3,
2002-07,0.7,
2002-10,-4.0,
2003-01,-4.1,
2003-04,-4.8,
2003-07,-3.8,
2003-10,-0.9,
2004-01,-1.0,
2004-04,-1.9,
2004-07,0.3,
2004-10,0.8,
2005-01,0.7,
2005-04,-1.1,
2005-07,-2.8,
2005-10,-1.1,
2006-01,2.3,
2006-04,3.3,
2006-07,4.4,
2006-10,5.1,
2007-01,6.2,
2007-04,1.5,
2007-07,2.4,
2007-10,0.6,
2008-01,-2.1,
2008-04,-2.5,
2008-07,-1.7,
2008-10,7.6,
2009-01,1.9,
2009-04,3.7,
2009-07,4.2,
2009-10,-0.9,
2010-01,-1.6,
2010-04,-4.4,
2010-07,-5.9,
2010-10,-2.7,
2011-01,0.2,
2011-04,-0.6,
2011-07,-0.1,
2011-10,-3.3,
2012-01,-2.5,
2012-04,-1.6,
2012-07,-3.4,
2012-10,-5.0,
2013-01,-4.0,
2013-04,-4.2,
2013-07,-2.5,
2013-10,-1.1,
2014-01,-0.1,
