"",BBK01.TZ5598,BBK01.TZ5598_FLAGS
"",Deposits of non-MFIs / Total / With an agreed maturity of over 2 years / Domestic / Financial transactions (flows) / Seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:46,
1999-01,2.7,
1999-02,-0.9,
1999-03,1.4,
1999-04,-0.4,
1999-05,-0.1,
1999-06,2.5,
1999-07,2.7,
1999-08,3.0,
1999-09,2.6,
1999-10,2.2,
1999-11,3.7,
1999-12,3.9,
2000-01,2.1,
2000-02,1.5,
2000-03,0.5,
2000-04,1.0,
2000-05,0.7,
2000-06,1.8,
2000-07,0.6,
2000-08,1.1,
2000-09,-0.3,
2000-10,0.5,
2000-11,-0.6,
2000-12,1.9,
2001-01,0.7,
2001-02,-1.0,
2001-03,0.9,
2001-04,-0.5,
2001-05,2.5,
2001-06,1.2,
2001-07,-1.6,
2001-08,0.3,
2001-09,2.1,
2001-10,0.5,
2001-11,-1.0,
2001-12,1.1,
2002-01,1.5,
2002-02,1.7,
2002-03,2.9,
2002-04,0.1,
2002-05,1.0,
2002-06,0.3,
2002-07,0.5,
2002-08,-0.9,
2002-09,0.6,
2002-10,3.4,
2002-11,3.1,
2002-12,3.0,
2003-01,-2.1,
2003-02,6.5,
2003-03,2.2,
2003-04,-0.7,
2003-05,-0.8,
2003-06,-0.3,
2003-07,6.2,
2003-08,4.2,
2003-09,0.6,
2003-10,1.1,
2003-11,0.5,
2003-12,0.6,
2004-01,0.8,
2004-02,1.7,
2004-03,2.8,
2004-04,5.5,
2004-05,4.3,
2004-06,3.9,
2004-07,2.5,
2004-08,1.8,
2004-09,2.6,
2004-10,2.9,
2004-11,2.8,
2004-12,2.3,
2005-01,0.8,
2005-02,3.7,
2005-03,3.2,
2005-04,2.0,
2005-05,-3.0,
2005-06,0.6,
2005-07,1.6,
2005-08,1.2,
2005-09,0.4,
2005-10,0.9,
2005-11,1.6,
2005-12,1.2,
2006-01,1.0,
2006-02,5.7,
2006-03,0.6,
2006-04,3.9,
2006-05,2.2,
2006-06,1.8,
2006-07,2.1,
2006-08,3.5,
2006-09,1.3,
2006-10,1.0,
2006-11,0.3,
2006-12,4.5,
2007-01,1.5,
2007-02,1.3,
2007-03,-1.5,
2007-04,1.8,
2007-05,1.0,
2007-06,2.9,
2007-07,0.4,
2007-08,0.2,
2007-09,4.7,
2007-10,-1.4,
2007-11,1.4,
2007-12,3.8,
2008-01,0.9,
2008-02,1.1,
2008-03,-0.1,
2008-04,0.7,
2008-05,0.0,
2008-06,0.1,
2008-07,0.2,
2008-08,0.0,
2008-09,-0.9,
2008-10,-1.8,
2008-11,2.8,
2008-12,28.3,
2009-01,2.8,
2009-02,5.9,
2009-03,2.4,
2009-04,3.7,
2009-05,2.4,
2009-06,13.9,
2009-07,0.5,
2009-08,2.1,
2009-09,1.2,
2009-10,1.3,
2009-11,2.2,
2009-12,0.4,
2010-01,-0.1,
2010-02,1.3,
2010-03,0.6,
2010-04,0.1,
2010-05,-4.5,
2010-06,1.0,
2010-07,-1.2,
2010-08,3.0,
2010-09,-1.0,
2010-10,-0.4,
2010-11,0.0,
2010-12,0.3,
2011-01,-2.7,
2011-02,0.0,
2011-03,-1.4,
2011-04,-1.3,
2011-05,-0.1,
2011-06,-0.5,
2011-07,0.3,
2011-08,0.9,
2011-09,-3.5,
2011-10,0.0,
2011-11,-0.1,
2011-12,-2.9,
2012-01,-4.0,
2012-02,-2.2,
2012-03,-3.5,
2012-04,-1.4,
2012-05,-2.6,
2012-06,-2.5,
2012-07,-4.5,
2012-08,-1.3,
2012-09,-2.9,
2012-10,-7.5,
2012-11,-4.3,
2012-12,-3.5,
2013-01,-2.1,
2013-02,-3.1,
2013-03,-0.6,
2013-04,-3.9,
2013-05,-0.7,
2013-06,-1.3,
2013-07,-3.8,
2013-08,-3.3,
2013-09,-3.6,
2013-10,-1.7,
2013-11,-1.4,
2013-12,-4.2,
2014-01,-2.0,
2014-02,-2.7,
2014-03,-2.7,
2014-04,-3.1,
2014-05,-3.0,
2014-06,-2.5,
2014-07,-3.5,
2014-08,-2.0,
2014-09,1.2,
2014-10,-2.9,
2014-11,-2.3,
2014-12,-9.7,Provisional value
2015-01,-3.7,
