"",BBK01.OEYJ10G,BBK01.OEYJ10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:06:27,
2002-01,-0.001,
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,-,Nothing exists
2005-10,-,Nothing exists
2006-01,-,Nothing exists
2006-04,0.005,
2006-07,0.004,
2006-10,0.004,
2007-01,0.005,
2007-04,0.004,
2007-07,0.004,
2007-10,-,Nothing exists
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,0.049,
2010-01,0.047,
2010-04,0.047,
2010-07,0.036,
2010-10,0.035,
2011-01,0.031,
2011-04,0.027,
2011-07,0.023,
2011-10,0.023,
2012-01,0.023,
2012-04,0.023,
2012-07,0.012,
2012-10,0.009,
2013-01,0.007,
2013-04,0.007,
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
