"",BBK01.OEYL08V,BBK01.OEYL08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:44,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,0.077,
2005-10,0.079,
2006-01,0.081,
2006-04,0.089,
2006-07,0.089,
2006-10,0.097,
2007-01,0.093,
2007-04,0.090,
2007-07,0.087,
2007-10,0.085,
2008-01,0.093,
2008-04,0.084,
2008-07,0.083,
2008-10,0.084,
2009-01,0.085,
2009-04,0.083,
2009-07,0.081,
2009-10,0.079,
2010-01,0.133,
2010-04,0.160,
2010-07,0.208,
2010-10,0.195,
2011-01,0.151,
2011-04,0.148,
2011-07,0.146,
2011-10,0.139,
2012-01,0.137,
2012-04,0.134,
2012-07,0.131,
2012-10,0.124,
2013-01,0.123,
2013-04,0.120,
2013-07,0.120,
2013-10,0.125,
2014-01,0.119,
2014-04,0.118,
2014-07,0.112,
