"",BBK01.OXA8J3,BBK01.OXA8J3_FLAGS
"",Loans to households domiciled in other euro-area member states with an original maturity of more than two years and with a remaining maturity of more than two years and interest rate reset period within the next 24 months - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:24,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,1.987,
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,1.942,
2010-10,-,Nothing exists
2010-11,-,Nothing exists
2010-12,1.517,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,1.505,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,1.486,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,1.472,
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,1.514,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,1.491,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,1.486,
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,1.429,
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,1.454,
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,1.397,
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,0.510,
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,0.492,
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,0.506,
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,0.514,
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,0.546,
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,0.557,
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,0.700,Provisional value
