"",BBK01.OEAH14T,BBK01.OEAH14T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:44,
2002-01,0.010,
2002-04,0.010,
2002-07,0.010,
2002-10,0.005,
2003-01,0.005,
2003-04,0.005,
2003-07,0.004,
2003-10,0.004,
2004-01,0.343,
2004-04,0.345,
2004-07,0.004,
2004-10,0.317,
2005-01,0.314,
2005-04,0.312,
2005-07,0.305,
2005-10,0.306,
2006-01,0.303,
2006-04,0.299,
2006-07,0.296,
2006-10,0.290,
2007-01,0.289,
2007-04,0.283,
2007-07,0.280,
2007-10,0.284,
2008-01,0.302,
2008-04,0.323,
2008-07,0.350,
2008-10,0.402,
2009-01,0.399,
2009-04,0.352,
2009-07,0.440,
2009-10,0.443,
2010-01,0.444,
2010-04,0.437,
2010-07,0.437,
2010-10,0.449,
2011-01,0.447,
2011-04,0.451,
2011-07,0.453,
2011-10,0.449,
2012-01,0.442,
2012-04,0.437,
2012-07,0.441,
2012-10,0.481,
2013-01,0.470,
2013-04,0.476,
2013-07,0.492,
2013-10,0.494,
2014-01,0.500,
2014-04,0.502,
2014-07,0.524,
