"",BBFN1.M.DE.N.1.L.TW.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TW.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1989-11,0.022,
1989-12,0.022,
1990-01,0.022,
1990-02,0.022,
1990-03,0.022,
1990-04,0.022,
1990-05,0.022,
1990-06,0.022,
1990-07,0.022,
1990-08,0.022,
1990-09,0.022,
1990-10,0.022,
1990-11,0.022,
1990-12,0.022,
1991-01,0.012,
1991-02,0.012,
1991-03,0.012,
1991-04,0.012,
1991-05,0.012,
1991-06,0.012,
1991-07,0.012,
1991-08,0.012,
1991-09,0.012,
1991-10,0.012,
1991-11,0.012,
1991-12,0.012,
1992-01,0.012,
1992-02,0.012,
1992-03,0.012,
1992-04,0.012,
1992-05,0.012,
1992-06,0.012,
1992-07,0.012,
1992-08,0.002,
1992-09,0.002,
1992-10,0.002,
1992-11,0.002,
1992-12,0.002,
1993-01,0.002,
1993-02,0.002,
1993-03,0.002,
1993-04,0.002,
1993-05,0.002,
1993-06,0.002,
1993-07,0.002,
1993-08,0.002,
1993-09,0.003,
1993-10,0.003,
1993-11,0.003,
1993-12,0.003,
1994-01,0.003,
1994-02,0.003,
1994-03,0.005,
1994-04,0.005,
1994-05,0.005,
1994-06,0.005,
1994-07,0.005,
1994-08,0.005,
1994-09,0.003,
1994-10,0.002,
1994-11,0.002,
1994-12,0.002,
1995-01,0.002,
1995-02,0.002,
1995-03,0.002,
1995-04,0.002,
1995-05,0.003,
1995-06,0.003,
1995-07,0.003,
1995-08,0.003,
1995-09,0.003,
1995-10,0.003,
1995-11,0.003,
1995-12,0.000,
1996-01,0.000,
1996-02,0.000,
1996-03,0.000,
1996-04,0.000,
1996-05,0.000,
1996-06,0.000,
1996-07,0.000,
1996-08,0.000,
1996-09,0.000,
1996-10,0.000,
1996-11,0.000,
1996-12,0.000,
1997-01,0.000,
1997-02,0.000,
1997-03,0.000,
1997-04,0.000,
1997-05,0.000,
1997-06,0.000,
1997-07,0.000,
1997-08,0.000,
1997-09,0.000,
1997-10,0.000,
1997-11,0.000,
1997-12,0.000,
1998-01,0.001,
1998-02,0.001,
1998-03,0.001,
1998-04,0.001,
1998-05,0.001,
1998-06,0.001,
1998-07,0.001,
1998-08,0.001,
1998-09,0.001,
1998-10,0.001,
1998-11,0.001,
1998-12,.,No value available
1999-01,0.001,
1999-02,0.001,
1999-03,0.001,
1999-04,0.001,
1999-05,.,No value available
1999-06,.,No value available
1999-07,0.000,
1999-08,0.000,
1999-09,0.000,
1999-10,.,No value available
1999-11,.,No value available
1999-12,.,No value available
2000-01,0.000,
2000-02,0.000,
2000-03,0.000,
2000-04,0.000,
2000-05,0.000,
2000-06,-,Nothing exists
2000-07,0.000,
2000-08,.,No value available
2000-09,.,No value available
2000-10,.,No value available
2000-11,.,No value available
2000-12,.,No value available
2001-01,.,No value available
2001-02,0.001,
2001-03,0.001,
2001-04,0.001,
2001-05,0.012,
2001-06,0.012,
2001-07,0.012,
2001-08,0.011,
2001-09,0.011,
2001-10,0.011,
2001-11,0.011,
2001-12,0.011,
2002-01,0.012,
2002-02,0.012,
2002-03,0.006,
2002-04,0.006,
2002-05,0.001,
2002-06,0.009,
2002-07,0.004,
2002-08,0.009,
2002-09,0.004,
2002-10,0.004,
2002-11,0.004,
2002-12,0.004,
2003-01,0.004,
2003-02,0.009,
2003-03,0.009,
2003-04,0.009,
2003-05,0.009,
2003-06,0.009,
2003-07,0.009,
2003-08,0.009,
2003-09,0.006,
2003-10,0.009,
2003-11,0.009,
2003-12,0.009,
2004-01,0.009,
2004-02,0.010,
2004-03,0.009,
2004-04,0.009,
2004-05,0.009,
2004-06,0.011,
2004-07,0.011,
2004-08,0.011,
2004-09,0.011,
2004-10,0.011,
2004-11,0.008,
2004-12,0.008,
2005-01,0.008,
2005-02,0.008,
2005-03,0.008,
2005-04,0.008,
2005-05,0.008,
2005-06,0.004,
2005-07,0.004,
2005-08,0.004,
2005-09,0.004,
2005-10,0.004,
2005-11,0.004,
2005-12,0.004,
2006-01,0.004,
2006-02,0.004,
2006-03,0.004,
2006-04,0.004,
2006-05,0.004,
2006-06,0.004,
2006-07,0.004,
2006-08,0.004,
2006-09,0.005,
2006-10,0.005,
2006-11,0.005,
2006-12,0.004,
2007-01,0.004,
2007-02,0.004,
2007-03,0.004,
2007-04,0.004,
2007-05,0.004,
2007-06,0.004,
2007-07,0.004,
2007-08,0.006,
2007-09,0.006,
2007-10,0.006,
2007-11,0.006,
2007-12,0.006,
2008-01,0.006,
2008-02,0.006,
2008-03,0.006,
2008-04,0.006,
2008-05,0.006,
2008-06,0.006,
2008-07,0.006,
2008-08,0.006,
2008-09,0.006,
2008-10,0.006,
2008-11,0.022,
2008-12,0.022,
2009-01,0.021,
2009-02,0.021,
2009-03,0.021,
2009-04,0.013,
2009-05,0.015,
2009-06,0.015,
2009-07,0.015,
2009-08,0.015,
2009-09,0.015,
2009-10,0.015,
2009-11,0.015,
2009-12,0.015,
2010-01,0.013,
2010-02,0.013,
2010-03,0.015,
2010-04,0.005,
2010-05,0.005,
2010-06,0.005,
2010-07,.,No value available
2010-08,0.005,
2010-09,.,No value available
2010-10,0.005,
2010-11,0.006,
2010-12,0.006,
2011-01,0.006,
2011-02,0.006,
2011-03,0.006,
2011-04,0.004,
2011-05,0.004,
2011-06,0.004,
2011-07,0.004,
2011-08,0.010,
2011-09,0.010,
2011-10,0.010,
2011-11,0.010,
2011-12,0.010,
2012-01,0.010,
2012-02,0.010,
2012-03,0.010,
2012-04,0.010,
2012-05,0.010,
2012-06,0.010,
2012-07,0.010,
2012-08,0.010,
2012-09,0.010,
2012-10,0.010,
2012-11,0.010,
2012-12,0.010,
2013-01,0.010,
2013-02,0.011,
2013-03,0.011,
2013-04,0.013,
2013-05,0.080,
2013-06,0.074,
2013-07,0.074,
2013-08,0.059,
2013-09,0.073,
2013-10,0.073,
2013-11,0.073,
2013-12,0.074,
2014-01,0.086,
2014-02,0.086,
2014-03,0.071,
2014-04,0.077,
2014-05,0.078,
2014-06,0.078,
2014-07,0.078,
2014-08,0.078,
2014-09,0.078,
2014-10,0.078,
2014-11,0.074,
2014-12,0.059,
