"",BBK01.CEHR01,BBK01.CEHR01_FLAGS
"",longer-term time deposits debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:18,
1991-01,0.1,
1991-04,0.6,
1991-07,-0.6,
1991-10,-0.8,
1992-01,-0.2,
1992-04,-0.3,
1992-07,0.6,
1992-10,-1.3,
1993-01,-0.9,
1993-04,-0.6,
1993-07,0.2,
1993-10,-1.0,
1994-01,-0.8,
1994-04,-0.3,
1994-07,0.1,
1994-10,-0.1,
1995-01,1.8,
1995-04,1.0,
1995-07,0.4,
1995-10,0.6,
1996-01,1.1,
1996-04,0.3,
1996-07,0.1,
1996-10,1.8,
1997-01,0.1,
1997-04,0.2,
1997-07,0.4,
1997-10,0.4,
1998-01,0.7,
1998-04,-0.8,
1998-07,0.2,
1998-10,-0.4,
1999-01,2.6,
1999-04,1.6,
1999-07,-0.7,
1999-10,0.5,
2000-01,0.0,
2000-04,-1.0,
2000-07,0.6,
2000-10,-1.3,
2001-01,0.8,
2001-04,-0.2,
2001-07,-0.2,
2001-10,-0.2,
2002-01,0.4,
2002-04,-0.5,
2002-07,-1.1,
2002-10,0.3,
2003-01,0.2,
2003-04,0.0,
2003-07,0.5,
2003-10,0.0,
2004-01,0.3,
2004-04,-0.2,
2004-07,0.6,
2004-10,-0.8,
2005-01,-0.2,
2005-04,0.4,
2005-07,-0.2,
2005-10,1.2,
2006-01,-0.2,
2006-04,1.0,
2006-07,0.4,
2006-10,-0.3,
2007-01,0.4,
2007-04,0.1,
2007-07,0.4,
2007-10,-0.2,
2008-01,-0.5,
2008-04,0.1,
2008-07,0.3,
2008-10,0.0,
2009-01,-0.2,
2009-04,0.6,
2009-07,1.9,
2009-10,1.0,
2010-01,-2.1,
2010-04,-0.5,
2010-07,-0.4,
2010-10,0.6,
2011-01,14.2,
2011-04,0.6,
2011-07,-0.2,
2011-10,-0.8,
2012-01,-2.2,
2012-04,0.2,
2012-07,-0.7,
2012-10,0.2,
2013-01,0.1,
2013-04,-0.2,
2013-07,0.3,
2013-10,-0.2,
2014-01,-0.3,
