"",BBSF2.M.1.T.00000.DER01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.DER01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Derivative funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:24,
2009-09,324,
2009-10,400,
2009-11,443,
2009-12,379,
2010-01,375,
2010-02,388,
2010-03,329,
2010-04,330,
2010-05,330,
2010-06,283,
2010-07,346,
2010-08,347,
2010-09,316,
2010-10,346,
2010-11,341,
2010-12,329,
2011-01,326,
2011-02,326,
2011-03,171,
2011-04,171,
2011-05,171,
2011-06,190,
2011-07,220,
2011-08,249,
2011-09,251,
2011-10,242,
2011-11,241,
2011-12,263,
2012-01,285,
2012-02,309,
2012-03,70,
2012-04,70,
2012-05,69,
2012-06,68,
2012-07,71,
2012-08,72,
2012-09,73,
2012-10,72,
2012-11,73,
2012-12,73,
2013-01,8,
2013-02,12,
2013-03,15,
2013-04,18,
2013-05,18,
2013-06,16,
2013-07,16,
2013-08,16,
2013-09,16,
2013-10,14,
2013-11,13,
2013-12,12,
2014-01,12,
2014-02,12,
2014-03,12,
2014-04,11,
2014-05,10,
2014-06,10,
2014-07,9,
2014-08,10,
2014-09,10,
2014-10,9,
2014-11,7,
