"",BBK01.OEXB07U,BBK01.OEXB07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:23,
2002-01,0.394,
2002-04,0.414,
2002-07,0.418,
2002-10,0.665,
2003-01,0.702,
2003-04,0.754,
2003-07,0.800,
2003-10,0.829,
2004-01,0.882,
2004-04,0.904,
2004-07,0.929,
2004-10,0.924,
2005-01,0.908,
2005-04,0.906,
2005-07,0.982,
2005-10,0.984,
2006-01,0.994,
2006-04,1.011,
2006-07,1.040,
2006-10,1.065,
2007-01,1.008,
2007-04,0.942,
2007-07,0.880,
2007-10,0.736,
2008-01,0.687,
2008-04,0.659,
2008-07,0.611,
2008-10,0.593,
2009-01,0.571,
2009-04,0.541,
2009-07,0.537,
2009-10,0.528,
2010-01,0.520,
2010-04,0.519,
2010-07,0.518,
2010-10,0.509,
2011-01,0.507,
2011-04,0.509,
2011-07,0.499,
2011-10,0.481,
2012-01,0.482,
2012-04,0.470,
2012-07,0.452,
2012-10,0.439,
2013-01,0.416,
2013-04,0.418,
2013-07,0.413,
2013-10,0.395,
2014-01,0.369,
2014-04,0.353,
2014-07,0.332,
