"",BBK01.WZ3484,BBK01.WZ3484_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 22.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:24,
2000-01,6.17,
2000-02,5.99,
2000-03,5.73,
2000-04,5.74,
2000-05,5.52,
2000-06,5.57,
2000-07,5.49,
2000-08,5.50,
2000-09,5.67,
2000-10,5.67,
2000-11,5.57,
2000-12,5.53,
2001-01,5.53,
2001-02,5.49,
2001-03,5.53,
2001-04,5.72,
2001-05,5.92,
2001-06,5.83,
2001-07,5.67,
2001-08,5.65,
2001-09,5.80,
2001-10,5.38,
2001-11,5.32,
2001-12,5.53,
2002-01,5.41,
2002-02,5.49,
2002-03,5.73,
2002-04,5.68,
2002-05,5.64,
2002-06,5.45,
2002-07,5.43,
2002-08,5.20,
2002-09,5.13,
2002-10,5.39,
2002-11,5.30,
2002-12,5.09,
2003-01,4.91,
2003-02,4.99,
2003-03,5.10,
2003-04,5.13,
2003-05,4.77,
2003-06,4.98,
2003-07,5.14,
2003-08,5.07,
2003-09,5.07,
2003-10,5.23,
2003-11,5.24,
2003-12,5.12,
2004-01,5.18,
2004-02,5.04,
2004-03,4.99,
2004-04,5.17,
2004-05,5.19,
2004-06,5.15,
2004-07,5.07,
2004-08,4.93,
2004-09,4.83,
2004-10,4.72,
2004-11,4.58,
2004-12,4.47,
2005-01,4.17,
2005-02,4.29,
2005-03,4.30,
2005-04,4.11,
2005-05,3.97,
2005-06,3.81,
2005-07,3.81,
2005-08,3.73,
2005-09,3.75,
2005-10,3.92,
2005-11,3.91,
2005-12,3.69,
2006-01,3.84,
2006-02,3.82,
2006-03,4.06,
2006-04,4.30,
2006-05,4.32,
2006-06,4.41,
2006-07,4.28,
2006-08,4.11,
2006-09,3.91,
2006-10,3.94,
2006-11,3.91,
2006-12,4.10,
2007-01,4.26,
2007-02,4.14,
2007-03,4.29,
2007-04,4.43,
2007-05,4.58,
2007-06,4.75,
2007-07,4.56,
2007-08,4.64,
2007-09,4.71,
2007-10,4.58,
2007-11,4.65,
2007-12,4.78,
2008-01,4.66,
2008-02,4.69,
2008-03,4.75,
2008-04,4.82,
2008-05,4.97,
2008-06,5.00,
2008-07,4.88,
2008-08,4.70,
2008-09,4.77,
2008-10,4.59,
2008-11,4.04,
2008-12,3.90,
2009-01,4.25,
2009-02,4.22,
2009-03,4.29,
2009-04,4.35,
2009-05,4.72,
2009-06,4.56,
2009-07,4.38,
2009-08,4.25,
2009-09,4.22,
2009-10,4.34,
2009-11,4.24,
2009-12,4.40,
2010-01,4.22,
2010-02,4.15,
2010-03,4.07,
2010-04,3.93,
2010-05,3.56,
2010-06,3.49,
2010-07,3.59,
2010-08,2.82,
2010-09,3.08,
2010-10,3.25,
2010-11,3.39,
2010-12,3.70,
2011-01,3.82,
2011-02,3.83,
2011-03,4.02,
2011-04,3.96,
2011-05,3.78,
2011-06,3.98,
2011-07,3.62,
2011-08,3.28,
2011-09,2.90,
2011-10,3.16,
2011-11,3.28,
2011-12,2.67,
2012-01,2.82,
2012-02,2.74,
2012-03,2.78,
2012-04,2.69,
2012-05,2.09,
2012-06,2.58,
2012-07,2.38,
2012-08,2.31,
2012-09,2.44,
2012-10,2.51,
2012-11,2.44,
2012-12,2.30,
2013-01,2.52,
2013-02,2.50,
2013-03,2.38,
2013-04,2.25,
2013-05,2.53,
2013-06,2.66,
2013-07,2.69,
2013-08,2.84,
2013-09,2.82,
2013-10,2.82,
2013-11,2.86,
2013-12,2.99,
2014-01,2.70,
2014-02,2.67,
2014-03,2.65,
2014-04,2.59,
2014-05,2.45,
2014-06,2.36,
2014-07,2.21,
2014-08,1.87,
2014-09,2.01,
2014-10,1.75,
2014-11,1.59,
2014-12,1.39,
2015-01,0.94,
