"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.SK.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.SK.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Slovakia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:22,
2009-09,376,
2009-10,350,
2009-11,351,
2009-12,351,
2010-01,345,
2010-02,324,
2010-03,331,
2010-04,418,
2010-05,459,
2010-06,460,
2010-07,478,
2010-08,515,
2010-09,479,
2010-10,594,
2010-11,575,
2010-12,563,
2011-01,559,
2011-02,568,
2011-03,540,
2011-04,567,
2011-05,533,
2011-06,543,
2011-07,545,
2011-08,572,
2011-09,584,
2011-10,578,
2011-11,523,
2011-12,528,
2012-01,572,
2012-02,567,
2012-03,654,
2012-04,700,
2012-05,727,
2012-06,738,
2012-07,756,
2012-08,796,
2012-09,833,
2012-10,886,
2012-11,985,
2012-12,984,
2013-01,1272,
2013-02,1353,
2013-03,1327,
2013-04,1381,
2013-05,1417,
2013-06,1243,
2013-07,1257,
2013-08,1211,
2013-09,1193,
2013-10,1307,
2013-11,1488,
2013-12,1484,
2014-01,1785,
2014-02,1836,
2014-03,1852,
2014-04,1884,
2014-05,1858,
2014-06,1982,
2014-07,1981,
2014-08,2057,
2014-09,2070,
2014-10,2168,
2014-11,2198,
