"",BBK01.OEBM07N,BBK01.OEBM07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:58,
2002-01,0.001,
2002-04,0.003,
2002-07,0.002,
2002-10,0.003,
2003-01,0.004,
2003-04,0.003,
2003-07,0.006,
2003-10,0.008,
2004-01,0.008,
2004-04,0.007,
2004-07,0.010,
2004-10,0.003,
2005-01,0.009,
2005-04,0.007,
2005-07,0.001,
2005-10,0.001,
2006-01,-,Nothing exists
2006-04,-,Nothing exists
2006-07,-,Nothing exists
2006-10,-,Nothing exists
2007-01,0.002,
2007-04,0.003,
2007-07,0.001,
2007-10,-,Nothing exists
2008-01,0.002,
2008-04,-,Nothing exists
2008-07,0.003,
2008-10,0.004,
2009-01,0.048,
2009-04,0.045,
2009-07,0.016,
2009-10,0.018,
2010-01,0.034,
2010-04,0.043,
2010-07,0.018,
2010-10,0.022,
2011-01,0.028,
2011-04,0.023,
2011-07,0.005,
2011-10,0.001,
2012-01,0.004,
2012-04,0.005,
2012-07,0.011,
2012-10,0.023,
2013-01,0.040,
2013-04,0.054,
2013-07,0.055,
2013-10,0.038,
2014-01,0.014,
2014-04,0.010,
2014-07,0.009,
