"",BBSF2.M.1.S.00000.AKT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:13,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,274,
1993-05,472,
1993-06,9,
1993-07,51,
1993-08,111,
1993-09,74,
1993-10,334,
1993-11,132,
1993-12,334,
1994-01,316,
1994-02,-29,
1994-03,139,
1994-04,423,
1994-05,-13,
1994-06,-18,
1994-07,164,
1994-08,36,
1994-09,113,
1994-10,99,
1994-11,23,
1994-12,290,
1995-01,98,
1995-02,121,
1995-03,34,
1995-04,112,
1995-05,43,
1995-06,72,
1995-07,-1,
1995-08,36,
1995-09,70,
1995-10,13,
1995-11,25,
1995-12,319,
1996-01,521,
1996-02,68,
1996-03,109,
1996-04,121,
1996-05,118,
1996-06,90,
1996-07,268,
1996-08,-18,
1996-09,74,
1996-10,229,
1996-11,246,
1996-12,1250,
1997-01,639,
1997-02,591,
1997-03,340,
1997-04,116,
1997-05,309,
1997-06,562,
1997-07,582,
1997-08,332,
1997-09,1405,
1997-10,2488,
1997-11,327,
1997-12,862,
1998-01,627,
1998-02,-28,
1998-03,1145,
1998-04,620,
1998-05,393,
1998-06,330,
1998-07,466,
1998-08,549,
1998-09,308,
1998-10,317,
1998-11,1371,
1998-12,1036,
1999-01,1309,
1999-02,323,
1999-03,-50,
1999-04,-489,
1999-05,182,
1999-06,15,
1999-07,35,
1999-08,493,
1999-09,-127,
1999-10,562,
1999-11,647,
1999-12,587,
2000-01,837,
2000-02,206,
2000-03,134,
2000-04,1623,
2000-05,1183,
2000-06,966,
2000-07,737,
2000-08,-101,
2000-09,190,
2000-10,1019,
2000-11,132,
2000-12,1583,
2001-01,538,
2001-02,-1616,
2001-03,-387,
2001-04,1094,
2001-05,253,
2001-06,402,
2001-07,195,
2001-08,195,
2001-09,259,
2001-10,-185,
2001-11,-194,
2001-12,2049,
2002-01,1313,
2002-02,-49,
2002-03,73,
2002-04,1564,
2002-05,130,
2002-06,-209,
2002-07,265,
2002-08,562,
2002-09,218,
2002-10,2847,
2002-11,169,
2002-12,-251,
2003-01,92,
2003-02,-169,
2003-03,86,
2003-04,-15,
2003-05,146,
2003-06,-332,
2003-07,227,
2003-08,-206,
2003-09,273,
2003-10,2104,
2003-11,2126,
2003-12,1607,
2004-01,-191,
2004-02,1211,
2004-03,343,
2004-04,-396,
2004-05,-297,
2004-06,-1070,
2004-07,-351,
2004-08,476,
2004-09,-712,
2004-10,-727,
2004-11,-118,
2004-12,-393,
2005-01,226,
2005-02,-92,
2005-03,77,
2005-04,158,
2005-05,753,
2005-06,655,
2005-07,644,
2005-08,-143,
2005-09,704,
2005-10,360,
2005-11,1230,
2005-12,169,
2006-01,925,
2006-02,270,
2006-03,644,
2006-04,583,
2006-05,-1336,
2006-06,-3009,
2006-07,1020,
2006-08,-102,
2006-09,-6907,
2006-10,189,
2006-11,225,
2006-12,894,
2007-01,507,
2007-02,-1816,
2007-03,1557,
2007-04,-672,
2007-05,-1554,
2007-06,-1202,
2007-07,1182,
2007-08,660,
2007-09,-348,
2007-10,191,
2007-11,735,
2007-12,1809,
2008-01,224,
2008-02,-701,
2008-03,1701,
2008-04,-596,
2008-05,2067,
2008-06,1062,
2008-07,-436,
2008-08,72,
2008-09,-598,
2008-10,1423,
2008-11,-277,
2008-12,-1970,
2009-01,162,
2009-02,-366,
2009-03,-523,
2009-04,428,
2009-05,-443,
2009-06,-2275,
2009-07,-1992,
2009-08,-1540,
2009-09,-585,
2009-10,-688,
2009-11,-1582,
2009-12,594,
2010-01,299,
2010-02,-405,
2010-03,1057,
2010-04,711,
2010-05,-131,
2010-06,8,
2010-07,401,
2010-08,-290,
2010-09,209,
2010-10,204,
2010-11,529,
2010-12,73,
2011-01,217,
2011-02,710,
2011-03,104,
2011-04,241,
2011-05,277,
2011-06,106,
2011-07,507,
2011-08,34,
2011-09,-369,
2011-10,-975,
2011-11,529,
2011-12,553,
2012-01,712,
2012-02,-513,
2012-03,36,
2012-04,49,
2012-05,828,
2012-06,90,
2012-07,-388,
2012-08,736,
2012-09,72,
2012-10,428,
2012-11,736,
2012-12,2403,
2013-01,917,
2013-02,249,
2013-03,1970,
2013-04,995,
2013-05,185,
2013-06,-530,
2013-07,658,
2013-08,388,
2013-09,93,
2013-10,624,
2013-11,755,
2013-12,442,
2014-01,-127,
2014-02,217,
2014-03,-18,
2014-04,4904,
2014-05,198,
2014-06,-331,
2014-07,787,
2014-08,174,
2014-09,-87,
2014-10,-8148,
2014-11,4190,
