"",BBK01.CEFF19,BBK01.CEFF19_FLAGS
"",long-term loans  debtor: Non-financial corporations                        creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:19,
1999-01,6.5,
1999-04,9.1,
1999-07,9.4,
1999-10,9.1,
2000-01,9.3,
2000-04,10.3,
2000-07,5.0,
2000-10,7.1,
2001-01,6.1,
2001-04,7.6,
2001-07,9.6,
2001-10,7.4,
2002-01,7.6,
2002-04,9.7,
2002-07,4.7,
2002-10,10.7,
2003-01,6.2,
2003-04,2.0,
2003-07,1.3,
2003-10,1.2,
2004-01,0.3,
2004-04,0.3,
2004-07,0.3,
2004-10,0.3,
2005-01,0.3,
2005-04,0.3,
2005-07,0.4,
2005-10,0.4,
2006-01,0.4,
2006-04,0.4,
2006-07,0.5,
2006-10,0.7,
2007-01,0.7,
2007-04,0.6,
2007-07,0.6,
2007-10,0.7,
2008-01,0.8,
2008-04,0.7,
2008-07,0.7,
2008-10,1.1,
2009-01,0.9,
2009-04,1.5,
2009-07,1.7,
2009-10,2.6,
2010-01,2.6,
2010-04,2.9,
2010-07,2.8,
2010-10,3.1,
2011-01,3.1,
2011-04,3.1,
2011-07,2.9,
2011-10,3.0,
2012-01,2.8,
2012-04,3.2,
2012-07,3.3,
2012-10,3.6,
2013-01,3.5,
2013-04,3.3,
2013-07,3.3,
2013-10,3.3,
2014-01,4.1,
2014-04,3.7,
2014-07,4.6,
