"",BBK01.OEXM06I,BBK01.OEXM06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:01,
2002-01,0.020,
2002-04,0.020,
2002-07,0.034,
2002-10,0.029,
2003-01,0.026,
2003-04,0.021,
2003-07,0.020,
2003-10,0.019,
2004-01,0.015,
2004-04,0.016,
2004-07,0.016,
2004-10,0.016,
2005-01,0.016,
2005-04,0.014,
2005-07,0.012,
2005-10,0.011,
2006-01,0.011,
2006-04,0.011,
2006-07,0.010,
2006-10,0.010,
2007-01,0.010,
2007-04,0.010,
2007-07,0.010,
2007-10,0.010,
2008-01,0.012,
2008-04,0.012,
2008-07,0.009,
2008-10,0.005,
2009-01,0.005,
2009-04,0.005,
2009-07,0.005,
2009-10,0.005,
2010-01,0.005,
2010-04,0.004,
2010-07,0.004,
2010-10,0.002,
2011-01,0.002,
2011-04,0.002,
2011-07,0.002,
2011-10,0.002,
2012-01,0.002,
2012-04,0.002,
2012-07,0.002,
2012-10,0.002,
2013-01,0.002,
2013-04,0.005,
2013-07,0.012,
2013-10,0.024,
2014-01,0.062,
2014-04,0.134,
2014-07,0.178,
