"",BBK01.OEXO05V,BBK01.OEXO05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:18,
2002-01,0.009,
2002-04,0.007,
2002-07,0.005,
2002-10,0.026,
2003-01,0.007,
2003-04,0.006,
2003-07,0.004,
2003-10,0.021,
2004-01,0.003,
2004-04,0.002,
2004-07,0.002,
2004-10,0.013,
2005-01,0.002,
2005-04,0.002,
2005-07,0.003,
2005-10,0.009,
2006-01,0.002,
2006-04,0.003,
2006-07,0.002,
2006-10,0.013,
2007-01,0.002,
2007-04,0.003,
2007-07,0.002,
2007-10,0.020,
2008-01,0.011,
2008-04,0.006,
2008-07,0.008,
2008-10,0.030,
2009-01,0.015,
2009-04,0.010,
2009-07,0.010,
2009-10,0.035,
2010-01,0.010,
2010-04,0.004,
2010-07,0.006,
2010-10,0.012,
2011-01,0.004,
2011-04,0.002,
2011-07,0.005,
2011-10,0.015,
2012-01,0.006,
2012-04,0.004,
2012-07,0.006,
2012-10,0.011,
2013-01,0.005,
2013-04,0.004,
2013-07,0.002,
2013-10,0.004,
2014-01,0.002,
2014-04,0.001,
2014-07,0.001,
