"",BBK01.OU5964,BBK01.OU5964_FLAGS
"",Deposits and borrowing from other domestic households / Sight deposits / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:34:30,
1968-12,0.004,
1969-01,0.004,
1969-02,0.005,
1969-03,0.005,
1969-04,0.006,
1969-05,0.006,
1969-06,0.005,
1969-07,0.006,
1969-08,0.006,
1969-09,0.006,
1969-10,0.007,
1969-11,0.006,
1969-12,0.005,
1970-01,0.008,
1970-02,0.006,
1970-03,0.006,
1970-04,0.007,
1970-05,0.006,
1970-06,0.006,
1970-07,0.005,
1970-08,0.005,
1970-09,0.006,
1970-10,0.006,
1970-11,0.007,
1970-12,0.006,
1971-01,0.008,
1971-02,0.007,
1971-03,0.007,
1971-04,0.007,
1971-05,0.011,
1971-06,0.008,
1971-07,0.009,
1971-08,0.008,
1971-09,0.008,
1971-10,0.008,
1971-11,0.007,
1971-12,0.008,
1972-01,0.007,
1972-02,0.008,
1972-03,0.008,
1972-04,0.009,
1972-05,0.009,
1972-06,0.009,
1972-07,0.010,
1972-08,0.010,
1972-09,0.009,
1972-10,0.011,
1972-11,0.011,
1972-12,0.009,
1973-01,0.010,
1973-02,0.011,
1973-03,0.019,
1973-04,0.016,
1973-05,0.013,
1973-06,0.015,
1973-07,0.015,
1973-08,0.015,
1973-09,0.012,
1973-10,0.016,
1973-11,0.014,
1973-12,0.011,
1974-01,0.012,
1974-02,0.013,
1974-03,0.013,
1974-04,0.012,
1974-05,0.015,
1974-06,0.016,
1974-07,0.017,
1974-08,0.016,
1974-09,0.014,
1974-10,0.014,
1974-11,0.014,
1974-12,0.013,
1975-01,0.015,
1975-02,0.014,
1975-03,0.013,
1975-04,0.018,
1975-05,0.017,
1975-06,0.017,
1975-07,0.015,
1975-08,0.012,
1975-09,0.017,
1975-10,0.013,
1975-11,0.014,
1975-12,0.012,
1976-01,0.014,
1976-02,0.015,
1976-03,0.017,
1976-04,0.016,
1976-05,0.019,
1976-06,0.017,
1976-07,0.016,
1976-08,0.015,
1976-09,0.016,
1976-10,0.013,
1976-11,0.017,
1976-12,0.013,
1977-01,0.017,
1977-02,0.015,
1977-03,0.016,
1977-04,0.016,
1977-05,0.015,
1977-06,0.016,
1977-07,0.016,
1977-08,0.014,
1977-09,0.012,
1977-10,0.014,
1977-11,0.013,
1977-12,0.011,
1978-01,0.014,
1978-02,0.013,
1978-03,0.015,
1978-04,0.015,
1978-05,0.016,
1978-06,0.015,
1978-07,0.014,
1978-08,0.015,
1978-09,0.016,
1978-10,0.016,
1978-11,0.014,
