"",BBK01.TUB639,BBK01.TUB639_FLAGS
"",Intra-Eurosystem liability related to euro banknote issue / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:15,
2002-01,11599,
2002-02,8216,
2002-03,11595,
2002-04,12864,
2002-05,15714,
2002-06,16749,
2002-07,18778,
2002-08,21966,
2002-09,24129,
2002-10,26156,
2002-11,27607,
2002-12,29129,
2003-01,29625,
2003-02,31856,
2003-03,33337,
2003-04,34241,
2003-05,36611,
2003-06,37260,
2003-07,38351,
2003-08,40848,
2003-09,42197,
2003-10,43363,
2003-11,44351,
2003-12,44590,
2004-01,48113,
2004-02,49200,
2004-03,50421,
2004-04,52293,
2004-05,53341,
2004-06,53921,
2004-07,55634,
2004-08,58602,
2004-09,60934,
2004-10,62291,
2004-11,63137,
2004-12,63392,
2005-01,64537,
2005-02,65837,
2005-03,67936,
2005-04,68820,
2005-05,71260,
2005-06,71970,
2005-07,72559,
2005-08,74121,
2005-09,76429,
2005-10,76457,
2005-11,76355,
2005-12,75134,
2006-01,75789,
2006-02,77772,
2006-03,78230,
2006-04,78670,
2006-05,79472,
2006-06,80554,
2006-07,81200,
2006-08,83861,
2006-09,85865,
2006-10,86454,
2006-11,86314,
2006-12,84334,
2007-01,85461,
2007-02,86535,
2007-03,87518,
2007-04,87518,
2007-05,90385,
2007-06,91560,
2007-07,92066,
2007-08,94368,
2007-09,96143,
2007-10,97502,
2007-11,98576,
2007-12,99498,
2008-01,100228,
2008-02,102358,
2008-03,103726,
2008-04,104149,
2008-05,106259,
2008-06,107160,
2008-07,107362,
2008-08,109755,
2008-09,111836,
2008-10,119330,
2008-11,120649,
2008-12,121759,
2009-01,139222,
2009-02,140740,
2009-03,140424,
2009-04,141768,
2009-05,142197,
2009-06,141879,
2009-07,141773,
2009-08,143389,
2009-09,144947,
2009-10,146488,
2009-11,146792,
2009-12,146806,
2010-01,147554,
2010-02,149642,
2010-03,150186,
2010-04,151060,
2010-05,151659,
2010-06,150858,
2010-07,151176,
2010-08,153183,
2010-09,155812,
2010-10,156679,
2010-11,156611,
2010-12,157105,
2011-01,157811,
2011-02,158880,
2011-03,159470,
2011-04,160135,
2011-05,161603,
2011-06,163086,
2011-07,164875,
2011-08,167465,
2011-09,170664,
2011-10,170739,
2011-11,170878,
2011-12,170489,
2012-01,171037,
2012-02,172224,
2012-03,175462,
2012-04,177593,
2012-05,179274,
2012-06,181017,
2012-07,184519,
2012-08,188451,
2012-09,191871,
2012-10,194688,
2012-11,197267,
2012-12,200307,
2013-01,199449,
2013-02,201445,
2013-03,203795,
2013-04,204081,
2013-05,206973,
2013-06,208231,
2013-07,211481,
2013-08,214845,
2013-09,218049,
2013-10,220210,
2013-11,221721,
2013-12,224251,
2014-01,234661,
2014-02,237098,
2014-03,238659,
2014-04,240840,
2014-05,243837,
2014-06,246668,
2014-07,251159,
2014-08,254813,
2014-09,258650,
2014-10,261816,
2014-11,264354,
2014-12,267914,
