"",BBFB1.Q.N.DE.D09.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:08,
1991-01,3319.667,
1991-04,3731.894,
1991-07,-532.185,
1991-10,-1966.717,
1992-01,-8047.771,
1992-04,-850.805,
1992-07,-2582.568,
1992-10,-1321.741,
1993-01,579.078,
1993-04,309.104,
1993-07,-2030.811,
1993-10,-344.153,
1994-01,3056.547,
1994-04,952.563,
1994-07,-280.099,
1994-10,3172.204,
1995-01,547.681,
1995-04,-91.214,
1995-07,-108.555,
1995-10,-73.165,
1996-01,6.540,
1996-04,5.882,
1996-07,24.840,
1996-10,2.385,
1997-01,-20.830,
1997-04,16.066,
1997-07,21.674,
1997-10,-15.632,
1998-01,5.510,
1998-04,5.310,
1998-07,24.323,
1998-10,-59.641,
1999-01,-206.534,
1999-04,11.886,
1999-07,-81.268,
1999-10,34.946,
2000-01,-5.366,
2000-04,53.715,
2000-07,-5.819,
2000-10,-60.360,
2001-01,46.158,
2001-04,-6.429,
2001-07,-26.703,
2001-10,-7.318,
2002-01,-270.288,
2002-04,-13.122,
2002-07,-2.871,
2002-10,-13.368,
2003-01,82.774,
2003-04,87.117,
2003-07,-31.100,
2003-10,9.039,
2004-01,-18.536,
2004-04,-10.686,
2004-07,55.297,
2004-10,36.060,
2005-01,-37.222,
2005-04,-36.409,
2005-07,-3.497,
2005-10,-9.062,
2006-01,-33.786,
2006-04,38.976,
2006-07,-16.890,
2006-10,12.217,
2007-01,-10.812,
2007-04,-0.726,
2007-07,28.913,
2007-10,-41.389,
2008-01,125.133,
2008-04,-33.009,
2008-07,-62.854,
2008-10,-29.962,
2009-01,-17.751,
2009-04,2.630,
2009-07,-2.622,
2009-10,2.294,
2010-01,84.399,
2010-04,-39.125,
2010-07,-15.239,
2010-10,-26.157,
2011-01,-10.718,
2011-04,24.053,
2011-07,6.205,
2011-10,-20.432,
2012-01,-11.000,
2012-04,65.267,
2012-07,-20.879,
2012-10,-29.338,
2013-01,2.911,
2013-04,-8.000,
2013-07,-6.620,
2013-10,-9.996,
2014-01,39.429,
2014-04,91.341,
2014-07,-100.188,
2014-10,31.395,
