"",BBK01.WZ3498,BBK01.WZ3498_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 29.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:27,
2000-01,6.41,
2000-02,6.18,
2000-03,5.93,
2000-04,5.80,
2000-05,5.55,
2000-06,5.62,
2000-07,5.53,
2000-08,5.58,
2000-09,5.89,
2000-10,5.87,
2000-11,5.72,
2000-12,5.76,
2001-01,5.75,
2001-02,5.75,
2001-03,5.75,
2001-04,5.90,
2001-05,6.06,
2001-06,5.98,
2001-07,5.80,
2001-08,5.83,
2001-09,5.99,
2001-10,5.58,
2001-11,5.45,
2001-12,5.61,
2002-01,5.48,
2002-02,5.59,
2002-03,5.83,
2002-04,5.83,
2002-05,5.72,
2002-06,5.53,
2002-07,5.52,
2002-08,5.33,
2002-09,5.28,
2002-10,5.54,
2002-11,5.42,
2002-12,5.24,
2003-01,5.06,
2003-02,5.17,
2003-03,5.30,
2003-04,5.29,
2003-05,4.95,
2003-06,5.17,
2003-07,5.34,
2003-08,5.24,
2003-09,5.24,
2003-10,5.39,
2003-11,5.37,
2003-12,5.26,
2004-01,5.32,
2004-02,5.21,
2004-03,5.16,
2004-04,5.33,
2004-05,5.34,
2004-06,5.29,
2004-07,5.25,
2004-08,5.12,
2004-09,4.99,
2004-10,4.88,
2004-11,4.73,
2004-12,4.64,
2005-01,4.29,
2005-02,4.39,
2005-03,4.37,
2005-04,4.24,
2005-05,4.11,
2005-06,3.93,
2005-07,3.94,
2005-08,3.81,
2005-09,3.87,
2005-10,4.02,
2005-11,4.02,
2005-12,3.80,
2006-01,3.90,
2006-02,3.87,
2006-03,4.11,
2006-04,4.35,
2006-05,4.39,
2006-06,4.46,
2006-07,4.34,
2006-08,4.17,
2006-09,3.95,
2006-10,3.96,
2006-11,3.95,
2006-12,4.13,
2007-01,4.28,
2007-02,4.17,
2007-03,4.34,
2007-04,4.47,
2007-05,4.62,
2007-06,4.79,
2007-07,4.60,
2007-08,4.70,
2007-09,4.78,
2007-10,4.66,
2007-11,4.77,
2007-12,4.78,
2008-01,4.79,
2008-02,4.81,
2008-03,4.93,
2008-04,4.91,
2008-05,5.09,
2008-06,5.08,
2008-07,4.83,
2008-08,4.63,
2008-09,4.89,
2008-10,4.47,
2008-11,3.84,
2008-12,3.79,
2009-01,4.06,
2009-02,4.04,
2009-03,4.21,
2009-04,4.14,
2009-05,4.67,
2009-06,4.53,
2009-07,4.34,
2009-08,4.31,
2009-09,4.23,
2009-10,4.30,
2009-11,4.23,
2009-12,4.33,
2010-01,4.15,
2010-02,4.08,
2010-03,4.02,
2010-04,3.88,
2010-05,3.55,
2010-06,3.47,
2010-07,3.53,
2010-08,2.75,
2010-09,3.00,
2010-10,3.12,
2010-11,3.24,
2010-12,3.52,
2011-01,3.69,
2011-02,3.68,
2011-03,3.92,
2011-04,3.89,
2011-05,3.72,
2011-06,3.94,
2011-07,3.54,
2011-08,3.34,
2011-09,2.85,
2011-10,3.04,
2011-11,3.11,
2011-12,2.46,
2012-01,2.64,
2012-02,2.56,
2012-03,2.59,
2012-04,2.53,
2012-05,1.93,
2012-06,2.45,
2012-07,2.34,
2012-08,2.25,
2012-09,2.35,
2012-10,2.46,
2012-11,2.39,
2012-12,2.23,
2013-01,2.47,
2013-02,2.41,
2013-03,2.31,
2013-04,2.21,
2013-05,2.46,
2013-06,2.58,
2013-07,2.59,
2013-08,2.75,
2013-09,2.70,
2013-10,2.74,
2013-11,2.76,
2013-12,2.89,
2014-01,2.60,
2014-02,2.62,
2014-03,2.59,
2014-04,2.53,
2014-05,2.40,
2014-06,2.34,
2014-07,2.19,
2014-08,1.89,
2014-09,2.03,
2014-10,1.94,
2014-11,1.78,
2014-12,1.57,
2015-01,1.09,
