"",BBK01.OEHI05T,BBK01.OEHI05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:54,
2002-01,0.018,
2002-04,0.016,
2002-07,0.018,
2002-10,0.017,
2003-01,0.018,
2003-04,0.015,
2003-07,0.014,
2003-10,0.037,
2004-01,0.034,
2004-04,0.035,
2004-07,0.035,
2004-10,0.039,
2005-01,0.038,
2005-04,0.036,
2005-07,0.036,
2005-10,0.036,
2006-01,0.034,
2006-04,0.035,
2006-07,0.041,
2006-10,0.038,
2007-01,0.039,
2007-04,0.013,
2007-07,0.013,
2007-10,0.015,
2008-01,0.013,
2008-04,0.011,
2008-07,0.013,
2008-10,0.012,
2009-01,0.012,
2009-04,0.011,
2009-07,0.018,
2009-10,0.006,
2010-01,0.006,
2010-04,0.007,
2010-07,0.006,
2010-10,0.006,
2011-01,0.008,
2011-04,0.008,
2011-07,0.007,
2011-10,0.006,
2012-01,-,Nothing exists
2012-04,0.001,
2012-07,0.001,
2012-10,0.001,
2013-01,0.001,
2013-04,0.001,
2013-07,-,Nothing exists
2013-10,0.001,
2014-01,0.001,
2014-04,-,Nothing exists
2014-07,0.002,
