"",BBK01.OEAH84K,BBK01.OEAH84K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:59,
2002-01,0.062,
2002-04,0.066,
2002-07,0.065,
2002-10,0.065,
2003-01,0.065,
2003-04,0.064,
2003-07,0.064,
2003-10,0.063,
2004-01,0.063,
2004-04,0.063,
2004-07,0.062,
2004-10,0.039,
2005-01,0.041,
2005-04,0.042,
2005-07,0.044,
2005-10,0.046,
2006-01,0.047,
2006-04,0.049,
2006-07,0.050,
2006-10,0.050,
2007-01,0.049,
2007-04,0.048,
2007-07,0.043,
2007-10,0.043,
2008-01,0.043,
2008-04,0.044,
2008-07,0.043,
2008-10,0.043,
2009-01,0.044,
2009-04,0.044,
2009-07,0.044,
2009-10,0.043,
2010-01,0.043,
2010-04,0.042,
2010-07,0.042,
2010-10,0.041,
2011-01,0.041,
2011-04,0.041,
2011-07,0.040,
2011-10,0.040,
2012-01,0.039,
2012-04,0.039,
2012-07,0.039,
2012-10,0.038,
2013-01,0.038,
2013-04,0.038,
2013-07,0.037,
2013-10,0.037,
2014-01,0.036,
2014-04,0.036,
2014-07,0.036,
