"",BBK01.OU9909,BBK01.OU9909_FLAGS
"",Savings deposits of domestic non-banks (non-MFIs) / Total / Building and loan associations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:17:42,
1999-01,0.262,
1999-02,0.267,
1999-03,0.268,
1999-04,0.269,
1999-05,0.271,
1999-06,0.272,
1999-07,0.271,
1999-08,0.272,
1999-09,0.271,
1999-10,0.270,
1999-11,0.271,
1999-12,0.277,
2000-01,0.276,
2000-02,0.276,
2000-03,0.274,
2000-04,0.271,
2000-05,0.270,
2000-06,0.268,
2000-07,0.265,
2000-08,0.262,
2000-09,0.262,
2000-10,0.259,
2000-11,0.258,
2000-12,0.263,
2001-01,0.264,
2001-02,0.265,
2001-03,0.266,
2001-04,0.266,
2001-05,0.264,
2001-06,0.265,
2001-07,0.264,
2001-08,0.265,
2001-09,0.267,
2001-10,0.269,
2001-11,0.273,
2001-12,0.283,
2002-01,0.291,
2002-02,0.296,
2002-03,0.301,
2002-04,0.298,
2002-05,0.300,
2002-06,0.303,
2002-07,0.302,
2002-08,0.305,
2002-09,0.308,
2002-10,0.308,
2002-11,0.314,
2002-12,0.327,
2003-01,0.332,
2003-02,0.337,
2003-03,0.341,
2003-04,0.339,
2003-05,0.341,
2003-06,0.343,
2003-07,0.341,
2003-08,0.343,
2003-09,0.345,
2003-10,0.343,
2003-11,0.347,
2003-12,0.353,
2004-01,0.357,
2004-02,0.361,
2004-03,0.361,
2004-04,0.360,
2004-05,0.361,
2004-06,0.361,
2004-07,0.358,
2004-08,0.360,
2004-09,0.359,
2004-10,0.357,
2004-11,0.359,
2004-12,0.360,
2005-01,0.364,
2005-02,0.365,
2005-03,0.366,
2005-04,0.363,
2005-05,0.363,
2005-06,0.362,
2005-07,0.357,
2005-08,0.358,
2005-09,0.359,
2005-10,0.356,
2005-11,0.357,
2005-12,0.363,
2006-01,0.366,
2006-02,0.368,
2006-03,0.367,
2006-04,0.364,
2006-05,0.362,
2006-06,0.360,
2006-07,0.356,
2006-08,0.354,
2006-09,0.352,
2006-10,0.348,
2006-11,0.348,
2006-12,0.352,
2007-01,0.352,
2007-02,0.352,
2007-03,0.349,
2007-04,0.344,
2007-05,0.342,
2007-06,0.341,
2007-07,0.333,
2007-08,0.331,
2007-09,0.330,
2007-10,0.324,
2007-11,0.323,
2007-12,0.327,
2008-01,0.325,
2008-02,0.323,
2008-03,0.322,
2008-04,0.316,
2008-05,0.313,
2008-06,0.310,
2008-07,0.303,
2008-08,0.300,
2008-09,0.297,
2008-10,0.289,
2008-11,0.287,
2008-12,0.289,
2009-01,0.288,
2009-02,0.290,
2009-03,0.293,
2009-04,0.293,
2009-05,0.296,
2009-06,0.299,
2009-07,0.311,
2009-08,0.314,
2009-09,0.315,
2009-10,0.314,
2009-11,0.316,
2009-12,0.323,
2010-01,0.328,
2010-02,0.331,
2010-03,0.334,
2010-04,0.334,
2010-05,0.339,
2010-06,0.339,
2010-07,0.337,
2010-08,0.338,
2010-09,0.339,
2010-10,0.338,
2010-11,0.343,
2010-12,0.348,
2011-01,0.351,
2011-02,0.355,
2011-03,0.355,
2011-04,0.355,
2011-05,0.355,
2011-06,0.354,
2011-07,0.354,
2011-08,0.352,
2011-09,0.352,
2011-10,0.350,
2011-11,0.350,
2011-12,0.355,
2012-01,0.356,
2012-02,0.356,
2012-03,0.355,
2012-04,0.353,
2012-05,0.354,
2012-06,0.354,
2012-07,0.352,
2012-08,0.353,
2012-09,0.352,
2012-10,0.352,
2012-11,0.352,
2012-12,0.355,
2013-01,0.356,
2013-02,0.358,
2013-03,0.357,
2013-04,0.353,
2013-05,0.352,
2013-06,0.352,
2013-07,0.347,
2013-08,0.345,
2013-09,0.346,
2013-10,0.343,
2013-11,0.344,
2013-12,0.345,
2014-01,0.344,
2014-02,0.343,
2014-03,0.343,
2014-04,0.341,
2014-05,0.339,
2014-06,0.340,
2014-07,0.336,
2014-08,0.334,
2014-09,0.334,
2014-10,0.331,
2014-11,0.331,
2014-12,0.364,Provisional value
