"",BBK01.XS8891,BBK01.XS8891_FLAGS
"","Imports / Value / Total, excluding energy / Seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:24,
1995-01,24.92,
1995-02,26.82,
1995-03,27.04,
1995-04,25.73,
1995-05,25.98,
1995-06,27.23,
1995-07,26.59,
1995-08,25.40,
1995-09,27.88,
1995-10,27.00,
1995-11,26.40,
1995-12,27.13,
1996-01,28.29,
1996-02,26.25,
1996-03,27.14,
1996-04,26.93,
1996-05,26.14,
1996-06,27.10,
1996-07,27.07,
1996-08,26.18,
1996-09,27.53,
1996-10,27.81,
1996-11,27.68,
1996-12,28.12,
1997-01,29.61,
1997-02,29.14,
1997-03,29.34,
1997-04,28.44,
1997-05,30.39,
1997-06,30.07,
1997-07,31.37,
1997-08,30.78,
1997-09,31.48,
1997-10,31.86,
1997-11,31.82,
1997-12,31.23,
1998-01,35.28,
1998-02,33.03,
1998-03,32.39,
1998-04,34.81,
1998-05,31.32,
1998-06,34.37,
1998-07,34.13,
1998-08,33.23,
1998-09,32.14,
1998-10,32.95,
1998-11,31.38,
1998-12,33.53,
1999-01,33.24,
1999-02,33.62,
1999-03,33.43,
1999-04,33.58,
1999-05,35.49,
1999-06,34.39,
1999-07,35.25,
1999-08,36.35,
1999-09,35.03,
1999-10,34.82,
1999-11,36.03,
1999-12,35.10,
2000-01,38.46,
2000-02,36.64,
2000-03,39.49,
2000-04,38.13,
2000-05,40.75,
2000-06,40.02,
2000-07,40.94,
2000-08,42.60,
2000-09,41.18,
2000-10,43.88,
2000-11,43.66,
2000-12,44.65,
2001-01,43.05,
2001-02,43.24,
2001-03,40.29,
2001-04,42.69,
2001-05,41.24,
2001-06,42.19,
2001-07,41.93,
2001-08,41.37,
2001-09,40.59,
2001-10,40.43,
2001-11,40.37,
2001-12,39.38,
2002-01,37.35,
2002-02,39.78,
2002-03,39.54,
2002-04,40.03,
2002-05,37.15,
2002-06,41.70,
2002-07,38.46,
2002-08,41.08,
2002-09,40.40,
2002-10,40.12,
2002-11,40.45,
2002-12,40.24,
2003-01,41.84,
2003-02,40.52,
2003-03,41.65,
2003-04,40.17,
2003-05,39.19,
2003-06,41.03,
2003-07,39.62,
2003-08,40.20,
2003-09,40.43,
2003-10,40.30,
2003-11,42.09,
2003-12,41.00,
2004-01,42.10,
2004-02,42.65,
2004-03,41.08,
2004-04,42.51,
2004-05,43.51,
2004-06,42.26,
2004-07,44.74,
2004-08,43.18,
2004-09,44.35,
2004-10,44.18,
2004-11,46.36,
2004-12,43.18,
2005-01,44.66,
2005-02,43.01,
2005-03,42.41,
2005-04,45.13,
2005-05,46.68,
2005-06,44.84,
2005-07,46.63,
2005-08,46.52,
2005-09,46.79,
2005-10,48.21,
2005-11,48.47,
2005-12,50.68,
2006-01,50.50,
2006-02,51.13,
2006-03,51.42,
2006-04,52.42,
2006-05,51.88,
2006-06,53.60,
2006-07,53.78,
2006-08,53.23,
2006-09,55.75,
2006-10,56.71,
2006-11,56.52,
2006-12,58.21,
2007-01,55.90,
2007-02,58.85,
2007-03,57.02,
2007-04,57.51,
2007-05,55.72,
2007-06,58.22,
2007-07,56.58,
2007-08,59.10,
2007-09,58.04,
2007-10,58.20,
2007-11,56.44,
2007-12,58.61,
2008-01,59.12,
2008-02,58.23,
2008-03,58.11,
2008-04,57.55,
2008-05,57.67,
2008-06,57.49,
2008-07,59.31,
2008-08,58.46,
2008-09,59.38,
2008-10,57.29,
2008-11,55.77,
2008-12,54.56,
