"",BBK01.QU2612,BBK01.QU2612_FLAGS
"",Banks in Germany: Long-term liabilities to non-residents / Egypt / All currencies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:16:30,
1982-06,0.003,
1982-07,0.003,
1982-08,0.003,
1982-09,0.003,
1982-10,0.003,
1982-11,0.003,
1982-12,0.003,
1983-01,0.003,
1983-02,0.004,
1983-03,0.004,
1983-04,0.004,
1983-05,0.004,
1983-06,0.004,
1983-07,0.004,
1983-08,0.005,
1983-09,0.005,
1983-10,0.005,
1983-11,0.005,
1983-12,0.004,
1984-01,0.004,
1984-02,0.004,
1984-03,0.004,
1984-04,0.004,
1984-05,0.004,
1984-06,0.004,
1984-07,0.004,
1984-08,0.004,
1984-09,0.004,
1984-10,0.004,
1984-11,0.004,
1984-12,0.004,
1985-01,0.004,
1985-02,0.004,
1985-03,0.004,
1985-04,0.004,
1985-05,0.004,
1985-06,0.004,
1985-07,0.004,
1985-08,0.004,
1985-09,0.004,
1985-10,0.004,
1985-11,0.005,
1985-12,0.005,
1986-01,0.004,
1986-02,0.005,
1986-03,0.005,
1986-04,0.005,
1986-05,0.005,
1986-06,0.005,
1986-07,0.006,
1986-08,0.011,
1986-09,0.011,
1986-10,0.008,
1986-11,0.011,
1986-12,0.011,
1987-01,0.011,
1987-02,0.011,
1987-03,0.013,
1987-04,0.011,
1987-05,0.012,
1987-06,0.013,
1987-07,0.013,
1987-08,0.012,
1987-09,0.012,
1987-10,0.012,
1987-11,0.005,
1987-12,0.005,
1988-01,0.005,
1988-02,0.006,
1988-03,0.006,
1988-04,0.006,
1988-05,0.006,
1988-06,0.006,
1988-07,0.006,
1988-08,0.006,
1988-09,0.006,
1988-10,0.006,
1988-11,0.006,
1988-12,0.006,
1989-01,0.006,
1989-02,0.006,
1989-03,0.007,
1989-04,0.006,
1989-05,0.007,
1989-06,0.007,
1989-07,0.007,
1989-08,0.007,
1989-09,0.007,
1989-10,0.007,
