"",BBK01.CELS30,BBK01.CELS30_FLAGS
"",Savings certificates                                                        debtor: MFI  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:32,
1999-01,-2.7,
1999-04,1.1,
1999-07,1.8,
1999-10,2.4,
2000-01,0.2,
2000-04,1.6,
2000-07,0.9,
2000-10,1.7,
2001-01,1.8,
2001-04,0.2,
2001-07,-0.5,
2001-10,-3.8,
2002-01,-1.8,
2002-04,0.8,
2002-07,-0.6,
2002-10,-1.2,
2003-01,-2.8,
2003-04,-2.0,
2003-07,-2.0,
2003-10,1.2,
2004-01,0.7,
2004-04,-1.0,
2004-07,0.0,
2004-10,0.9,
2005-01,0.6,
2005-04,3.4,
2005-07,-2.2,
2005-10,-1.9,
2006-01,-0.6,
2006-04,-0.3,
2006-07,1.3,
2006-10,1.5,
2007-01,3.6,
2007-04,3.5,
2007-07,5.2,
2007-10,5.4,
2008-01,2.4,
2008-04,4.3,
2008-07,2.1,
2008-10,3.4,
2009-01,-6.9,
2009-04,-13.3,
2009-07,-10.3,
2009-10,-7.2,
2010-01,-3.0,
2010-04,-1.0,
2010-07,-1.0,
2010-10,1.2,
2011-01,0.4,
2011-04,3.3,
2011-07,1.5,
2011-10,1.1,
2012-01,-3.4,
2012-04,-3.1,
2012-07,-4.6,
2012-10,-5.9,
2013-01,-7.6,
2013-04,-7.6,
2013-07,-4.7,
2013-10,-3.3,
2014-01,-6.3,
2014-04,-4.4,
2014-07,-1.9,
