"",BBK01.OEHB07R,BBK01.OEHB07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:57,
2002-01,0.209,
2002-04,0.209,
2002-07,0.214,
2002-10,0.219,
2003-01,0.207,
2003-04,0.202,
2003-07,0.197,
2003-10,0.187,
2004-01,0.182,
2004-04,0.181,
2004-07,0.179,
2004-10,0.168,
2005-01,0.167,
2005-04,0.169,
2005-07,0.166,
2005-10,0.161,
2006-01,0.163,
2006-04,0.168,
2006-07,0.169,
2006-10,0.174,
2007-01,0.168,
2007-04,0.170,
2007-07,0.168,
2007-10,0.165,
2008-01,0.165,
2008-04,0.161,
2008-07,0.161,
2008-10,0.151,
2009-01,0.147,
2009-04,0.147,
2009-07,0.151,
2009-10,0.151,
2010-01,0.155,
2010-04,0.155,
2010-07,0.155,
2010-10,0.185,
2011-01,0.187,
2011-04,0.213,
2011-07,0.211,
2011-10,0.224,
2012-01,0.206,
2012-04,0.212,
2012-07,0.243,
2012-10,0.218,
2013-01,0.215,
2013-04,0.213,
2013-07,0.238,
2013-10,0.223,
2014-01,0.223,
2014-04,0.230,
2014-07,0.227,
