"",BBK01.CEH530,BBK01.CEH530_FLAGS
"",Shares and other equity debtor: Monetary financial institutions                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:00,
1991-01,1.1,
1991-04,1.5,
1991-07,0.5,
1991-10,1.4,
1992-01,1.0,
1992-04,2.1,
1992-07,0.8,
1992-10,2.8,
1993-01,1.9,
1993-04,2.2,
1993-07,0.4,
1993-10,1.3,
1994-01,5.3,
1994-04,2.3,
1994-07,1.9,
1994-10,17.7,
1995-01,-8.7,
1995-04,2.7,
1995-07,3.7,
1995-10,7.5,
1996-01,1.1,
1996-04,0.6,
1996-07,-0.3,
1996-10,0.8,
1997-01,1.0,
1997-04,1.8,
1997-07,3.7,
1997-10,4.3,
1998-01,5.6,
1998-04,-4.2,
1998-07,1.9,
1998-10,3.4,
1999-01,2.2,
1999-04,2.8,
1999-07,4.4,
1999-10,2.4,
2000-01,4.5,
2000-04,-1.2,
2000-07,-0.1,
2000-10,9.3,
2001-01,6.9,
2001-04,-0.1,
2001-07,4.0,
2001-10,13.5,
2002-01,4.9,
2002-04,-5.2,
2002-07,7.3,
2002-10,0.8,
2003-01,3.3,
2003-04,-2.7,
2003-07,-0.5,
2003-10,-6.1,
2004-01,-2.4,
2004-04,2.3,
2004-07,3.1,
2004-10,-3.9,
2005-01,2.0,
2005-04,-0.1,
2005-07,5.7,
2005-10,-1.2,
2006-01,-0.2,
2006-04,0.9,
2006-07,0.9,
2006-10,0.0,
2007-01,-2.8,
2007-04,0.5,
2007-07,-5.1,
2007-10,-2.8,
2008-01,0.2,
2008-04,-3.6,
2008-07,1.5,
2008-10,-2.0,
2009-01,3.2,
2009-04,3.9,
2009-07,-3.0,
2009-10,-0.6,
2010-01,16.0,
2010-04,-4.5,
2010-07,-0.4,
2010-10,10.2,
2011-01,1.3,
2011-04,8.0,
2011-07,0.0,
2011-10,-0.9,
2012-01,-1.2,
2012-04,-1.4,
2012-07,-0.7,
2012-10,17.4,
2013-01,-1.7,
2013-04,-2.5,
2013-07,-3.0,
2013-10,-3.6,
2014-01,-1.3,
