"",BBK01.SU0529,BBK01.SU0529_FLAGS
"","Deposit rates of banks / Savings deposits with higher rates of return, with agreed notice of 3 months and a duration of contract of up to and including 1 year / Highest rate of spread",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:33,
1996-11,3.25,
1996-12,3.25,
1997-01,3.25,
1997-02,3.25,
1997-03,3.25,
1997-04,3.25,
1997-05,3.25,
1997-06,3.25,
1997-07,3.25,
1997-08,3.25,
1997-09,3.30,
1997-10,3.55,
1997-11,3.75,
1997-12,3.80,
1998-01,3.75,
1998-02,3.75,
1998-03,3.75,
1998-04,3.75,
1998-05,3.75,
1998-06,3.75,
1998-07,3.75,
1998-08,3.75,
1998-09,3.50,
1998-10,3.50,
1998-11,3.50,
1998-12,3.50,
1999-01,3.30,
1999-02,3.25,
1999-03,3.25,
1999-04,3.00,
1999-05,3.00,
1999-06,2.75,
1999-07,2.80,
1999-08,3.00,
1999-09,3.05,
1999-10,3.40,
1999-11,3.50,
1999-12,3.50,
2000-01,3.65,
2000-02,3.75,
2000-03,3.85,
2000-04,4.00,
2000-05,4.35,
2000-06,4.50,
2000-07,4.60,
2000-08,4.70,
2000-09,4.80,
2000-10,4.85,
2000-11,4.80,
2000-12,4.75,
2001-01,4.50,
2001-02,4.40,
2001-03,4.35,
2001-04,4.25,
2001-05,4.25,
2001-06,4.20,
2001-07,4.15,
2001-08,4.00,
2001-09,3.90,
2001-10,3.45,
2001-11,3.25,
2001-12,3.10,
2002-01,3.10,
2002-02,3.25,
2002-03,3.30,
2002-04,3.40,
2002-05,3.40,
2002-06,3.40,
2002-07,3.30,
2002-08,3.25,
2002-09,3.20,
2002-10,3.25,
2002-11,3.00,
2002-12,2.80,
2003-01,2.75,
2003-02,2.55,
2003-03,2.40,
2003-04,2.30,
2003-05,2.30,
2003-06,2.20,
"","General: Up to December 2001, savings deposits of DM 20,000 and more but less than DM 50,000; from January 2002, EUR 10,000 and more but less than EUR 25,000. Total rate of return: rate of return which is paid when savings plans are held until maturity or when savings objektives have been achieved. The spread is ascertained by eliminating the reports in the top 5% and the bottom 5% of the interest rate range.",
