"",BBK01.OEBB24Q,BBK01.OEBB24Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:23,
2002-01,0.196,
2002-04,0.213,
2002-07,0.201,
2002-10,0.209,
2003-01,0.203,
2003-04,0.204,
2003-07,0.175,
2003-10,0.158,
2004-01,0.148,
2004-04,0.095,
2004-07,0.098,
2004-10,0.104,
2005-01,0.216,
2005-04,0.188,
2005-07,0.190,
2005-10,0.191,
2006-01,0.227,
2006-04,0.192,
2006-07,0.231,
2006-10,0.234,
2007-01,0.263,
2007-04,0.261,
2007-07,0.262,
2007-10,0.281,
2008-01,0.283,
2008-04,0.283,
2008-07,0.276,
2008-10,0.293,
2009-01,0.290,
2009-04,0.289,
2009-07,0.299,
2009-10,0.151,
2010-01,0.149,
2010-04,0.147,
2010-07,0.144,
2010-10,0.145,
2011-01,0.135,
2011-04,0.132,
2011-07,0.130,
2011-10,0.127,
2012-01,0.125,
2012-04,0.123,
2012-07,0.168,
2012-10,0.115,
2013-01,0.109,
2013-04,0.107,
2013-07,0.124,
2013-10,0.131,
2014-01,0.165,
2014-04,0.162,
2014-07,0.160,
