"",BBK01.OEAB18J,BBK01.OEAB18J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:54,
2002-01,0.415,
2002-04,0.414,
2002-07,0.429,
2002-10,0.396,
2003-01,0.370,
2003-04,0.369,
2003-07,0.370,
2003-10,0.355,
2004-01,0.325,
2004-04,0.317,
2004-07,0.319,
2004-10,0.297,
2005-01,0.293,
2005-04,0.321,
2005-07,0.354,
2005-10,0.344,
2006-01,0.329,
2006-04,0.314,
2006-07,0.325,
2006-10,0.317,
2007-01,0.306,
2007-04,0.298,
2007-07,0.295,
2007-10,0.308,
2008-01,0.292,
2008-04,0.276,
2008-07,0.278,
2008-10,0.281,
2009-01,0.259,
2009-04,0.266,
2009-07,0.251,
2009-10,0.245,
2010-01,0.242,
2010-04,0.241,
2010-07,0.238,
2010-10,0.240,
2011-01,0.245,
2011-04,0.255,
2011-07,0.266,
2011-10,0.256,
2012-01,0.256,
2012-04,0.241,
2012-07,0.226,
2012-10,0.234,
2013-01,0.223,
2013-04,0.224,
2013-07,0.233,
2013-10,0.230,
2014-01,0.219,
2014-04,0.241,
2014-07,0.226,
