"",BBK01.CEBT0I,BBK01.CEBT0I_FLAGS
"",Savings deposits debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:04,
1991-01,377.2,
1991-04,375.7,
1991-07,372.1,
1991-10,380.3,
1992-01,380.3,
1992-04,382.8,
1992-07,384.2,
1992-10,389.1,
1993-01,397.7,
1993-04,405.1,
1993-07,415.1,
1993-10,434.7,
1994-01,445.4,
1994-04,454.3,
1994-07,464.5,
1994-10,475.8,
1995-01,484.4,
1995-04,495.9,
1995-07,509.6,
1995-10,528.5,
1996-01,549.7,
1996-04,557.8,
1996-07,565.1,
1996-10,577.2,
1997-01,588.2,
1997-04,589.8,
1997-07,593.0,
1997-10,596.4,
1998-01,603.0,
1998-04,602.0,
1998-07,604.1,
1998-10,610.2,
1999-01,614.6,
1999-04,613.3,
1999-07,611.4,
1999-10,605.9,
2000-01,596.0,
2000-04,583.4,
2000-07,576.3,
2000-10,565.5,
2001-01,562.9,
2001-04,560.8,
2001-07,562.2,
2001-10,568.0,
2002-01,568.3,
2002-04,560.4,
2002-07,563.4,
2002-10,568.8,
2003-01,576.4,
2003-04,576.9,
2003-07,581.5,
2003-10,583.5,
2004-01,587.3,
2004-04,589.0,
2004-07,593.0,
2004-10,595.7,
2005-01,600.6,
2005-04,601.2,
2005-07,599.9,
2005-10,596.0,
2006-01,597.2,
2006-04,595.0,
2006-07,589.9,
2006-10,580.0,
2007-01,575.3,
2007-04,567.4,
2007-07,559.7,
2007-10,550.1,
2008-01,542.3,
2008-04,535.7,
2008-07,525.2,
2008-10,530.2,
2009-01,545.3,
2009-04,559.6,
2009-07,577.0,
2009-10,586.5,
2010-01,598.3,
2010-04,599.6,
2010-07,603.3,
2010-10,609.1,
2011-01,616.5,
2011-04,613.2,
2011-07,611.5,
2011-10,608.2,
2012-01,613.6,
2012-04,611.7,
2012-07,611.0,
2012-10,608.0,
2013-01,605.9,
2013-04,601.9,
2013-07,599.6,
2013-10,599.3,
2014-01,598.7,
