"",BBK01.CELS0I,BBK01.CELS0I_FLAGS
"",Savings certificates                                                        debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:19,
1999-01,-5.6,
1999-04,-2.3,
1999-07,-1.8,
1999-10,-0.2,
2000-01,-2.9,
2000-04,-0.4,
2000-07,-0.2,
2000-10,1.1,
2001-01,0.9,
2001-04,0.1,
2001-07,-0.2,
2001-10,-2.2,
2002-01,-0.7,
2002-04,0.7,
2002-07,0.0,
2002-10,-0.2,
2003-01,-2.0,
2003-04,-1.5,
2003-07,-1.4,
2003-10,0.6,
2004-01,-0.2,
2004-04,-0.9,
2004-07,-0.5,
2004-10,-0.1,
2005-01,-1.7,
2005-04,-1.3,
2005-07,-1.7,
2005-10,0.1,
2006-01,0.7,
2006-04,1.2,
2006-07,2.3,
2006-10,2.9,
2007-01,4.9,
2007-04,4.2,
2007-07,5.2,
2007-10,6.3,
2008-01,3.6,
2008-04,3.7,
2008-07,4.1,
2008-10,5.9,
2009-01,-5.5,
2009-04,-10.8,
2009-07,-9.8,
2009-10,-5.5,
2010-01,-2.6,
2010-04,-0.7,
2010-07,-1.0,
2010-10,1.1,
2011-01,1.9,
2011-04,3.8,
2011-07,1.9,
2011-10,2.4,
2012-01,-1.1,
2012-04,-1.3,
2012-07,-3.1,
2012-10,-4.4,
2013-01,-6.1,
2013-04,-5.4,
2013-07,-3.0,
2013-10,-1.6,
2014-01,-2.6,
2014-04,-2.9,
2014-07,-2.8,
