"",BBK01.CEBV01,BBK01.CEBV01_FLAGS
"",longer-term savings deposits  debtor: All sectors                     creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:37,
1991-01,0.9,
1991-04,0.9,
1991-07,0.8,
1991-10,0.8,
1992-01,0.8,
1992-04,0.8,
1992-07,0.8,
1992-10,0.8,
1993-01,0.8,
1993-04,0.7,
1993-07,0.7,
1993-10,0.7,
1994-01,0.6,
1994-04,0.6,
1994-07,0.6,
1994-10,0.7,
1995-01,0.8,
1995-04,0.8,
1995-07,0.8,
1995-10,0.9,
1996-01,0.9,
1996-04,1.0,
1996-07,0.9,
1996-10,1.0,
1997-01,1.0,
1997-04,1.0,
1997-07,1.1,
1997-10,1.0,
1998-01,1.0,
1998-04,1.1,
1998-07,1.1,
1998-10,1.1,
1999-01,1.0,
1999-04,1.0,
1999-07,1.0,
1999-10,0.9,
2000-01,1.0,
2000-04,1.0,
2000-07,1.0,
2000-10,1.0,
2001-01,1.0,
2001-04,0.9,
2001-07,0.8,
2001-10,0.8,
2002-01,0.7,
2002-04,0.7,
2002-07,0.7,
2002-10,0.8,
2003-01,0.8,
2003-04,1.1,
2003-07,1.0,
2003-10,1.0,
2004-01,1.0,
2004-04,1.0,
2004-07,1.0,
2004-10,1.1,
2005-01,1.1,
2005-04,0.7,
2005-07,0.7,
2005-10,0.7,
2006-01,0.7,
2006-04,0.7,
2006-07,0.8,
2006-10,0.8,
2007-01,0.8,
2007-04,0.7,
2007-07,0.7,
2007-10,0.7,
2008-01,0.7,
2008-04,0.6,
2008-07,0.6,
2008-10,0.6,
2009-01,0.7,
2009-04,0.9,
2009-07,1.0,
2009-10,1.1,
2010-01,1.3,
2010-04,1.2,
2010-07,1.1,
2010-10,0.9,
2011-01,0.9,
2011-04,0.9,
2011-07,0.8,
2011-10,0.7,
2012-01,0.7,
2012-04,0.7,
2012-07,0.8,
2012-10,0.8,
2013-01,0.9,
2013-04,1.0,
2013-07,1.1,
2013-10,1.0,
2014-01,1.1,
