"",BBFN1.M.DE.N.1.A.VN.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.VN.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Vietnam,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:05,
1994-07,0.031,
1994-08,0.031,
1994-09,0.034,
1994-10,0.035,
1994-11,0.039,
1994-12,0.036,
1995-01,0.032,
1995-02,0.034,
1995-03,0.034,
1995-04,0.040,
1995-05,0.040,
1995-06,0.039,
1995-07,0.040,
1995-08,0.037,
1995-09,0.049,
1995-10,0.041,
1995-11,0.045,
1995-12,0.044,
1996-01,0.048,
1996-02,0.050,
1996-03,0.056,
1996-04,0.057,
1996-05,0.053,
1996-06,0.058,
1996-07,0.055,
1996-08,0.059,
1996-09,0.054,
1996-10,0.060,
1996-11,0.053,
1996-12,0.060,
1997-01,0.057,
1997-02,0.058,
1997-03,0.061,
1997-04,0.061,
1997-05,0.063,
1997-06,0.066,
1997-07,0.070,
1997-08,0.073,
1997-09,0.072,
1997-10,0.080,
1997-11,0.083,
1997-12,0.110,
1998-01,0.111,
1998-02,0.143,
1998-03,0.102,
1998-04,0.101,
1998-05,0.101,
1998-06,0.109,
1998-07,0.108,
1998-08,0.102,
1998-09,0.099,
1998-10,0.105,
1998-11,0.101,
1998-12,0.105,
1999-01,0.081,
1999-02,0.097,
1999-03,0.100,
1999-04,0.087,
1999-05,0.097,
1999-06,0.105,
1999-07,0.105,
1999-08,0.098,
1999-09,0.097,
1999-10,0.091,
1999-11,0.096,
1999-12,0.095,
2000-01,0.088,
2000-02,0.089,
2000-03,0.090,
2000-04,0.085,
2000-05,0.088,
2000-06,0.092,
2000-07,0.089,
2000-08,0.095,
2000-09,0.097,
2000-10,0.100,
2000-11,0.096,
2000-12,0.087,
2001-01,0.089,
2001-02,0.055,
2001-03,0.053,
2001-04,0.060,
2001-05,0.057,
2001-06,0.074,
2001-07,0.091,
2001-08,0.100,
2001-09,0.116,
2001-10,0.088,
2001-11,0.128,
2001-12,0.117,
2002-01,0.095,
2002-02,0.093,
2002-03,0.101,
2002-04,0.107,
2002-05,0.103,
2002-06,0.105,
2002-07,0.111,
2002-08,0.119,
2002-09,0.122,
2002-10,0.115,
2002-11,0.139,
2002-12,0.124,
2003-01,0.121,
2003-02,0.111,
2003-03,0.111,
2003-04,0.119,
2003-05,0.113,
2003-06,0.104,
2003-07,0.094,
2003-08,0.106,
2003-09,0.108,
2003-10,0.108,
2003-11,0.115,
2003-12,0.112,
2004-01,0.118,
2004-02,0.116,
2004-03,0.105,
2004-04,0.118,
2004-05,0.129,
2004-06,0.126,
2004-07,0.132,
2004-08,0.129,
2004-09,0.138,
2004-10,0.142,
2004-11,0.139,
2004-12,0.120,
2005-01,0.121,
2005-02,0.121,
2005-03,0.118,
2005-04,0.120,
2005-05,0.138,
2005-06,0.129,
2005-07,0.138,
2005-08,0.147,
2005-09,0.150,
2005-10,0.160,
2005-11,0.146,
2005-12,0.156,
2006-01,0.146,
2006-02,0.144,
2006-03,0.149,
2006-04,0.164,
2006-05,0.160,
2006-06,0.157,
2006-07,0.175,
2006-08,0.137,
2006-09,0.144,
2006-10,0.153,
2006-11,0.168,
2006-12,0.168,
2007-01,0.171,
2007-02,0.171,
2007-03,0.168,
2007-04,0.166,
2007-05,0.180,
2007-06,0.172,
2007-07,0.183,
2007-08,0.185,
2007-09,0.184,
2007-10,0.192,
2007-11,0.203,
2007-12,0.201,
2008-01,0.211,
2008-02,0.220,
2008-03,0.208,
2008-04,0.238,
2008-05,0.244,
2008-06,0.242,
2008-07,0.248,
2008-08,0.237,
2008-09,0.220,
2008-10,0.239,
2008-11,0.262,
2008-12,0.251,
2009-01,0.251,
2009-02,0.233,
2009-03,0.232,
2009-04,0.216,
2009-05,0.196,
2009-06,0.194,
2009-07,0.186,
2009-08,0.191,
2009-09,0.220,
2009-10,0.227,
2009-11,0.236,
2009-12,0.222,
2010-01,0.214,
2010-02,0.223,
2010-03,0.224,
2010-04,0.228,
2010-05,0.230,
2010-06,0.233,
2010-07,0.243,
2010-08,0.247,
2010-09,0.247,
2010-10,0.244,
2010-11,0.243,
2010-12,0.211,
2011-01,0.198,
2011-02,0.204,
2011-03,0.218,
2011-04,0.214,
2011-05,0.214,
2011-06,0.218,
2011-07,0.277,
2011-08,0.254,
2011-09,0.228,
2011-10,0.250,
2011-11,0.267,
2011-12,0.251,
2012-01,0.245,
2012-02,0.244,
2012-03,0.252,
2012-04,0.266,
2012-05,0.260,
2012-06,0.240,
2012-07,0.238,
2012-08,0.233,
2012-09,0.221,
2012-10,0.211,
2012-11,0.211,
2012-12,0.194,
2013-01,0.197,
2013-02,0.215,
2013-03,0.246,
2013-04,0.239,
2013-05,0.229,
2013-06,0.239,
2013-07,0.221,
2013-08,0.236,
2013-09,0.220,
2013-10,0.239,
2013-11,0.232,
2013-12,0.232,
2014-01,0.231,
2014-02,0.245,
2014-03,0.232,
2014-04,0.237,
2014-05,0.234,
2014-06,0.236,
2014-07,0.243,
2014-08,0.244,
2014-09,0.246,
2014-10,0.247,
2014-11,0.278,
2014-12,0.261,
