"",BBK01.OEAB10S,BBK01.OEAB10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:31,
2002-01,1.081,
2002-04,1.085,
2002-07,1.116,
2002-10,1.006,
2003-01,0.995,
2003-04,1.040,
2003-07,1.004,
2003-10,0.932,
2004-01,0.965,
2004-04,0.964,
2004-07,0.965,
2004-10,0.856,
2005-01,0.910,
2005-04,0.857,
2005-07,0.878,
2005-10,0.809,
2006-01,0.785,
2006-04,0.777,
2006-07,0.747,
2006-10,0.642,
2007-01,0.648,
2007-04,0.660,
2007-07,0.679,
2007-10,0.662,
2008-01,0.708,
2008-04,0.680,
2008-07,0.664,
2008-10,0.643,
2009-01,0.703,
2009-04,0.736,
2009-07,0.804,
2009-10,0.679,
2010-01,0.690,
2010-04,0.705,
2010-07,0.642,
2010-10,0.601,
2011-01,0.601,
2011-04,0.677,
2011-07,0.637,
2011-10,0.645,
2012-01,0.636,
2012-04,0.640,
2012-07,0.645,
2012-10,0.632,
2013-01,0.604,
2013-04,0.635,
2013-07,0.654,
2013-10,0.571,
2014-01,0.588,
2014-04,0.611,
2014-07,0.618,
