"",BBK01.QUX228,BBK01.QUX228_FLAGS
"","All foreign subsidiaries: Liabilities to non-residents, total / China, Taiwan / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:21:33,
2001-12,0.828,
2002-01,0.815,
2002-02,0.935,
2002-03,0.893,
2002-04,0.938,
2002-05,0.934,
2002-06,0.954,
2002-07,0.833,
2002-08,0.802,
2002-09,0.672,
2002-10,0.679,
2002-11,0.657,
2002-12,0.613,
2003-01,0.715,
2003-02,0.692,
2003-03,0.606,
2003-04,0.595,
2003-05,0.544,
2003-06,0.475,
2003-07,0.420,
2003-08,0.426,
2003-09,0.458,
2003-10,0.395,
2003-11,0.418,
2003-12,0.311,
2004-01,0.337,
2004-02,0.334,
2004-03,0.336,
2004-04,0.331,
2004-05,0.273,
2004-06,0.302,
2004-07,0.175,
2004-08,0.148,
2004-09,0.156,
2004-10,0.172,
2004-11,0.169,
2004-12,0.235,
2005-01,0.168,
2005-02,0.236,
2005-03,0.182,
2005-04,0.213,
2005-05,0.325,
2005-06,0.243,
2005-07,0.171,
2005-08,0.235,
2005-09,0.230,
2005-10,0.280,
2005-11,0.217,
2005-12,0.300,
2006-01,0.239,
2006-02,0.338,
2006-03,0.246,
2006-04,0.279,
2006-05,0.173,
2006-06,0.297,
2006-07,0.254,
2006-08,0.263,
2006-09,0.252,
2006-10,0.228,
2006-11,0.279,
2006-12,0.332,
2007-01,0.084,
2007-02,0.097,
2007-03,0.097,
2007-04,0.088,
2007-05,0.096,
2007-06,0.099,
2007-07,0.104,
2007-08,0.085,
2007-09,0.170,
2007-10,0.076,
2007-11,0.099,
2007-12,0.121,
2008-01,0.101,
2008-02,0.083,
2008-03,0.100,
2008-04,0.132,
2008-05,0.065,
2008-06,0.075,
2008-07,0.067,
2008-08,0.079,
2008-09,0.138,
2008-10,0.127,
2008-11,0.094,
2008-12,0.146,
2009-01,0.159,
2009-02,0.099,
2009-03,0.094,
2009-04,0.205,
2009-05,0.098,
2009-06,0.128,
2009-07,0.092,
2009-08,0.117,
2009-09,0.075,
2009-10,0.045,
2009-11,0.085,
2009-12,0.107,
2010-01,0.074,
2010-02,0.091,
2010-03,0.121,
2010-04,0.047,
2010-05,0.084,
2010-06,0.090,
2010-07,0.056,
2010-08,0.080,
2010-09,0.093,
2010-10,0.064,
2010-11,0.075,
2010-12,0.164,
2011-01,0.091,
2011-02,0.128,
2011-03,0.067,
2011-04,0.065,
2011-05,0.083,
2011-06,0.045,
2011-07,0.046,
2011-08,0.062,
2011-09,0.068,
2011-10,0.017,
2011-11,0.039,
2011-12,0.066,
2012-01,0.045,
2012-02,0.038,
2012-03,0.042,
2012-04,0.051,
2012-05,0.063,
2012-06,0.054,
2012-07,0.051,
2012-08,0.083,
2012-09,0.050,
2012-10,0.016,
2012-11,0.050,
2012-12,0.109,
2013-01,0.091,
2013-02,0.084,
2013-03,0.122,
2013-04,0.049,
2013-05,0.047,
2013-06,0.071,
2013-07,0.045,
2013-08,0.064,
2013-09,0.047,
2013-10,0.052,
2013-11,0.056,
2013-12,0.049,
2014-01,0.066,
2014-02,0.069,
2014-03,0.075,
2014-04,0.044,
2014-05,0.044,
2014-06,0.050,
2014-07,0.047,
2014-08,0.035,
2014-09,0.036,
2014-10,0.042,
2014-11,0.040,
