"",BBK01.QUA507,BBK01.QUA507_FLAGS
"","Foreign branches: Liabilities to non-residents, total / Slovakia / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:05,
2005-12,0.261,
2006-01,0.198,
2006-02,0.292,
2006-03,0.216,
2006-04,0.205,
2006-05,0.212,
2006-06,0.256,
2006-07,0.345,
2006-08,0.355,
2006-09,0.330,
2006-10,0.344,
2006-11,0.401,
2006-12,0.256,
2007-01,0.357,
2007-02,0.330,
2007-03,0.201,
2007-04,0.377,
2007-05,0.223,
2007-06,0.216,
2007-07,0.357,
2007-08,0.517,
2007-09,0.365,
2007-10,0.302,
2007-11,0.262,
2007-12,0.347,
2008-01,0.302,
2008-02,0.246,
2008-03,0.176,
2008-04,0.163,
2008-05,0.244,
2008-06,0.192,
2008-07,0.245,
2008-08,0.192,
2008-09,0.162,
2008-10,0.209,
2008-11,0.167,
2008-12,0.108,
2009-01,0.157,
2009-02,0.171,
2009-03,0.106,
2009-04,0.150,
2009-05,0.232,
2009-06,0.189,
2009-07,0.125,
2009-08,0.104,
2009-09,0.224,
2009-10,0.268,
2009-11,0.183,
2009-12,0.102,
2010-01,0.138,
2010-02,0.142,
2010-03,0.083,
2010-04,0.062,
2010-05,0.037,
2010-06,0.049,
2010-07,0.040,
2010-08,0.045,
2010-09,0.056,
2010-10,0.058,
2010-11,0.054,
2010-12,0.064,
2011-01,0.073,
2011-02,0.077,
2011-03,0.061,
2011-04,0.068,
2011-05,0.066,
2011-06,0.518,
2011-07,0.100,
2011-08,0.124,
2011-09,0.235,
2011-10,0.175,
2011-11,0.067,
2011-12,0.074,
2012-01,0.256,
2012-02,0.209,
2012-03,0.103,
2012-04,0.117,
2012-05,0.092,
2012-06,0.081,
2012-07,0.119,
2012-08,0.165,
2012-09,0.138,
2012-10,0.159,
2012-11,0.262,
2012-12,0.275,
2013-01,0.282,
2013-02,0.201,
2013-03,0.246,
2013-04,0.231,
2013-05,0.229,
2013-06,0.208,
2013-07,0.183,
2013-08,0.138,
2013-09,0.090,
2013-10,0.174,
2013-11,0.196,
2013-12,0.155,
2014-01,0.113,
2014-02,0.152,
2014-03,0.144,
2014-04,0.221,
2014-05,0.223,
2014-06,0.227,
2014-07,0.239,
2014-08,0.228,
2014-09,0.184,
2014-10,0.227,
2014-11,0.227,
