"",BBEX3.D.MXN.USD.CA.AB.000,BBEX3.D.MXN.USD.CA.AB.000_FLAGS
"",Exchange rates for the US dollar in Mexico / USD 1 = MXN ... (selling),
unit,MXN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:48:05,
1993-01-08,3.1010,
1993-01-09,.,No value available
1993-01-10,.,No value available
1993-01-11,.,No value available
1993-01-12,.,No value available
1993-01-13,.,No value available
1993-01-14,.,No value available
1993-01-15,3.1050,
1993-01-16,.,No value available
1993-01-17,.,No value available
1993-01-18,.,No value available
1993-01-19,.,No value available
1993-01-20,.,No value available
1993-01-21,.,No value available
1993-01-22,3.0985,
1993-01-23,.,No value available
1993-01-24,.,No value available
1993-01-25,.,No value available
1993-01-26,.,No value available
1993-01-27,.,No value available
1993-01-28,.,No value available
1993-01-29,3.1150,
1993-01-30,.,No value available
1993-01-31,.,No value available
1993-02-01,.,No value available
1993-02-02,.,No value available
1993-02-03,.,No value available
1993-02-04,3.0940,
1993-02-05,.,No value available
1993-02-06,.,No value available
1993-02-07,.,No value available
1993-02-08,.,No value available
1993-02-09,.,No value available
1993-02-10,.,No value available
1993-02-11,.,No value available
1993-02-12,3.0890,
1993-02-13,.,No value available
1993-02-14,.,No value available
1993-02-15,.,No value available
1993-02-16,.,No value available
1993-02-17,.,No value available
1993-02-18,.,No value available
1993-02-19,3.0920,
1993-02-20,.,No value available
1993-02-21,.,No value available
1993-02-22,.,No value available
1993-02-23,.,No value available
1993-02-24,.,No value available
1993-02-25,.,No value available
1993-02-26,3.0980,
1993-02-27,.,No value available
1993-02-28,.,No value available
1993-03-01,.,No value available
1993-03-02,.,No value available
1993-03-03,.,No value available
1993-03-04,.,No value available
1993-03-05,3.1000,
1993-03-06,.,No value available
1993-03-07,.,No value available
1993-03-08,.,No value available
1993-03-09,.,No value available
1993-03-10,.,No value available
1993-03-11,.,No value available
1993-03-12,3.1155,
1993-03-13,.,No value available
1993-03-14,.,No value available
1993-03-15,.,No value available
1993-03-16,.,No value available
1993-03-17,.,No value available
1993-03-18,.,No value available
1993-03-19,3.1125,
1993-03-20,.,No value available
1993-03-21,.,No value available
1993-03-22,.,No value available
1993-03-23,.,No value available
1993-03-24,.,No value available
1993-03-25,.,No value available
1993-03-26,3.1000,
1993-03-27,.,No value available
1993-03-28,.,No value available
1993-03-29,.,No value available
1993-03-30,.,No value available
1993-03-31,3.0910,
1993-04-01,.,No value available
1993-04-02,3.0890,
1993-04-03,.,No value available
1993-04-04,.,No value available
1993-04-05,.,No value available
1993-04-06,.,No value available
1993-04-07,.,No value available
1993-04-08,.,No value available
1993-04-09,.,No value available
1993-04-10,.,No value available
1993-04-11,.,No value available
1993-04-12,3.0945,
1993-04-13,.,No value available
1993-04-14,.,No value available
1993-04-15,.,No value available
1993-04-16,3.0870,
1993-04-17,.,No value available
1993-04-18,.,No value available
1993-04-19,.,No value available
1993-04-20,.,No value available
1993-04-21,.,No value available
1993-04-22,.,No value available
1993-04-23,3.0900,
1993-04-24,.,No value available
1993-04-25,.,No value available
1993-04-26,.,No value available
1993-04-27,.,No value available
1993-04-28,.,No value available
1993-04-29,.,No value available
1993-04-30,3.1140,
1993-05-01,.,No value available
1993-05-02,.,No value available
1993-05-03,.,No value available
1993-05-04,.,No value available
1993-05-05,.,No value available
1993-05-06,.,No value available
1993-05-07,3.1380,
1993-05-08,.,No value available
1993-05-09,.,No value available
1993-05-10,.,No value available
1993-05-11,.,No value available
1993-05-12,.,No value available
1993-05-13,.,No value available
1993-05-14,3.1275,
1993-05-15,.,No value available
1993-05-16,.,No value available
1993-05-17,.,No value available
1993-05-18,.,No value available
1993-05-19,.,No value available
1993-05-20,.,No value available
1993-05-21,3.1020,
1993-05-22,.,No value available
1993-05-23,.,No value available
1993-05-24,.,No value available
1993-05-25,.,No value available
1993-05-26,.,No value available
1993-05-27,.,No value available
1993-05-28,3.1140,
1993-05-29,.,No value available
1993-05-30,.,No value available
1993-05-31,.,No value available
1993-06-01,.,No value available
1993-06-02,.,No value available
1993-06-03,.,No value available
1993-06-04,3.1215,
1993-06-05,.,No value available
1993-06-06,.,No value available
1993-06-07,.,No value available
1993-06-08,.,No value available
1993-06-09,.,No value available
1993-06-10,.,No value available
1993-06-11,3.1230,
1993-06-12,.,No value available
1993-06-13,.,No value available
1993-06-14,.,No value available
1993-06-15,.,No value available
1993-06-16,.,No value available
1993-06-17,.,No value available
1993-06-18,3.1110,
1993-06-19,.,No value available
1993-06-20,.,No value available
1993-06-21,.,No value available
1993-06-22,.,No value available
1993-06-23,.,No value available
1993-06-24,.,No value available
1993-06-25,3.1125,
1993-06-26,.,No value available
1993-06-27,.,No value available
1993-06-28,.,No value available
1993-06-29,.,No value available
1993-06-30,3.1155,
1993-07-01,.,No value available
1993-07-02,3.1180,
1993-07-03,.,No value available
1993-07-04,.,No value available
