"",BBK01.CEFK03,BBK01.CEFK03_FLAGS
"",Other equity                                            debtor: Total           creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:38,
1999-01,60.0,
1999-04,61.2,
1999-07,66.7,
1999-10,67.5,
2000-01,68.4,
2000-04,70.5,
2000-07,72.2,
2000-10,76.1,
2001-01,77.2,
2001-04,79.0,
2001-07,81.1,
2001-10,85.8,
2002-01,83.8,
2002-04,84.3,
2002-07,95.3,
2002-10,97.6,
2003-01,94.3,
2003-04,97.0,
2003-07,94.3,
2003-10,90.6,
2004-01,89.8,
2004-04,88.5,
2004-07,85.4,
2004-10,83.7,
2005-01,82.7,
2005-04,87.8,
2005-07,88.0,
2005-10,90.3,
2006-01,93.2,
2006-04,91.1,
2006-07,88.0,
2006-10,89.6,
2007-01,90.2,
2007-04,101.6,
2007-07,104.5,
2007-10,102.0,
2008-01,105.5,
2008-04,106.2,
2008-07,108.0,
2008-10,108.3,
2009-01,114.4,
2009-04,112.1,
2009-07,111.5,
2009-10,104.7,
2010-01,99.6,
2010-04,98.2,
2010-07,99.4,
2010-10,98.0,
2011-01,99.7,
2011-04,96.4,
2011-07,95.8,
2011-10,87.0,
2012-01,87.9,
2012-04,88.1,
2012-07,87.9,
2012-10,101.4,
2013-01,102.2,
2013-04,101.8,
2013-07,99.1,
2013-10,90.4,
2014-01,91.4,
2014-04,92.4,
2014-07,92.6,
