"",BBSF2.M.1.S.I1251.IMM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.IMM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:23,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,19,
2009-12,275,
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,7,
2010-04,26,
2010-05,50,
2010-06,5,
2010-07,-,Nothing exists
2010-08,20,
2010-09,65,
2010-10,-,Nothing exists
2010-11,6,
2010-12,91,
2011-01,27,
2011-02,73,
2011-03,17,
2011-04,5,
2011-05,143,
2011-06,16,
2011-07,28,
2011-08,20,
2011-09,34,
2011-10,7,
2011-11,23,
2011-12,184,
2012-01,102,
2012-02,20,
2012-03,64,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,6,
2012-07,1,
2012-08,11,
2012-09,19,
2012-10,-,Nothing exists
2012-11,57,
2012-12,41,
2013-01,69,
2013-02,57,
2013-03,179,
2013-04,3,
2013-05,17,
2013-06,95,
2013-07,258,
2013-08,139,
2013-09,-,Nothing exists
2013-10,12,
2013-11,9,
2013-12,57,
2014-01,26,
2014-02,8,
2014-03,91,
2014-04,25,
2014-05,-,Nothing exists
2014-06,14,
2014-07,4,
2014-08,3,
2014-09,-,Nothing exists
2014-10,87,
2014-11,112,
