"",BBK01.CEFL0I,BBK01.CEFL0I_FLAGS
"",Investment fund shares or units  debtor: Total                                           creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:51,
1999-01,303.1,
1999-04,321.7,
1999-07,329.4,
1999-10,361.6,
2000-01,397.4,
2000-04,400.6,
2000-07,418.0,
2000-10,408.8,
2001-01,408.3,
2001-04,422.7,
2001-07,400.8,
2001-10,436.1,
2002-01,449.3,
2002-04,429.8,
2002-07,421.4,
2002-10,425.1,
2003-01,433.7,
2003-04,457.5,
2003-07,460.3,
2003-10,464.8,
2004-01,470.7,
2004-04,471.1,
2004-07,471.9,
2004-10,461.9,
2005-01,475.8,
2005-04,491.9,
2005-07,510.7,
2005-10,515.1,
2006-01,440.1,
2006-04,422.2,
2006-07,432.3,
2006-10,443.6,
2007-01,445.9,
2007-04,465.9,
2007-07,463.6,
2007-10,467.4,
2008-01,447.1,
2008-04,448.1,
2008-07,432.7,
2008-10,379.8,
2009-01,368.7,
2009-04,389.8,
2009-07,410.4,
2009-10,416.2,
2010-01,426.9,
2010-04,420.1,
2010-07,426.5,
2010-10,435.4,
2011-01,426.2,
2011-04,421.1,
2011-07,389.2,
2011-10,394.9,
2012-01,410.9,
2012-04,401.7,
2012-07,414.8,
2012-10,420.1,
2013-01,435.0,
2013-04,430.8,
2013-07,439.7,
2013-10,449.5,
2014-01,457.9,
2014-04,473.9,
2014-07,486.6,
