"",BBK01.OEHL04P,BBK01.OEHL04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:50,
2002-01,0.234,
2002-04,0.226,
2002-07,0.230,
2002-10,0.219,
2003-01,0.212,
2003-04,0.198,
2003-07,0.190,
2003-10,0.181,
2004-01,0.178,
2004-04,0.174,
2004-07,0.160,
2004-10,0.147,
2005-01,0.149,
2005-04,0.136,
2005-07,0.124,
2005-10,0.116,
2006-01,0.113,
2006-04,0.120,
2006-07,0.119,
2006-10,0.128,
2007-01,0.127,
2007-04,0.127,
2007-07,0.143,
2007-10,0.147,
2008-01,0.165,
2008-04,0.190,
2008-07,0.216,
2008-10,0.247,
2009-01,0.174,
2009-04,0.122,
2009-07,0.091,
2009-10,0.057,
2010-01,0.049,
2010-04,0.041,
2010-07,0.038,
2010-10,0.042,
2011-01,0.040,
2011-04,0.048,
2011-07,0.061,
2011-10,0.081,
2012-01,0.088,
2012-04,0.081,
2012-07,0.068,
2012-10,0.095,
2013-01,0.037,
2013-04,0.033,
2013-07,0.028,
2013-10,0.027,
2014-01,0.027,
2014-04,0.025,
2014-07,0.024,
