"",BBK01.CELQ0N,BBK01.CELQ0N_FLAGS
"",short-term time deposits                              debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:57,
1999-01,-11.7,
1999-04,11.0,
1999-07,28.0,
1999-10,49.8,
2000-01,10.9,
2000-04,-1.3,
2000-07,-7.4,
2000-10,38.7,
2001-01,73.4,
2001-04,-27.1,
2001-07,-1.9,
2001-10,26.6,
2002-01,-21.5,
2002-04,-19.4,
2002-07,21.8,
2002-10,10.2,
2003-01,0.4,
2003-04,-15.8,
2003-07,-0.3,
2003-10,29.1,
2004-01,-4.1,
2004-04,-45.7,
2004-07,16.5,
2004-10,69.3,
2005-01,-30.2,
2005-04,-24.4,
2005-07,15.5,
2005-10,35.1,
2006-01,3.0,
2006-04,-31.0,
2006-07,12.2,
2006-10,0.6,
2007-01,1.5,
2007-04,-2.9,
2007-07,56.8,
2007-10,37.3,
2008-01,6.4,
2008-04,-33.3,
2008-07,0.2,
2008-10,-109.7,
2009-01,-79.4,
2009-04,10.7,
2009-07,-8.5,
2009-10,2.5,
2010-01,-23.5,
2010-04,12.4,
2010-07,35.9,
2010-10,6.9,
2011-01,-40.2,
2011-04,-39.5,
2011-07,31.4,
2011-10,-30.8,
2012-01,95.0,
2012-04,-29.9,
2012-07,-40.2,
2012-10,-31.4,
2013-01,5.7,
2013-04,-15.4,
2013-07,-46.9,
2013-10,-23.0,
2014-01,10.9,
2014-04,-25.0,
2014-07,26.0,
