"",BBFN1.M.DE.N.1.A.BA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:48,
1994-07,0.035,
1994-08,0.035,
1994-09,0.040,
1994-10,0.083,
1994-11,0.081,
1994-12,0.085,
1995-01,0.084,
1995-02,0.085,
1995-03,0.084,
1995-04,0.084,
1995-05,0.084,
1995-06,0.085,
1995-07,0.083,
1995-08,0.080,
1995-09,0.081,
1995-10,0.080,
1995-11,0.080,
1995-12,0.077,
1996-01,0.077,
1996-02,0.081,
1996-03,0.082,
1996-04,0.084,
1996-05,0.085,
1996-06,0.084,
1996-07,0.086,
1996-08,0.089,
1996-09,0.088,
1996-10,0.089,
1996-11,0.091,
1996-12,0.088,
1997-01,0.086,
1997-02,0.087,
1997-03,0.086,
1997-04,0.087,
1997-05,0.085,
1997-06,0.089,
1997-07,0.090,
1997-08,0.093,
1997-09,0.097,
1997-10,0.097,
1997-11,0.095,
1997-12,0.092,
1998-01,0.092,
1998-02,0.095,
1998-03,0.092,
1998-04,0.091,
1998-05,0.096,
1998-06,0.098,
1998-07,0.099,
1998-08,0.056,
1998-09,0.061,
1998-10,0.059,
1998-11,0.058,
1998-12,0.064,
1999-01,0.057,
1999-02,0.059,
1999-03,0.060,
1999-04,0.062,
1999-05,0.065,
1999-06,0.067,
1999-07,0.075,
1999-08,0.071,
1999-09,0.074,
1999-10,0.080,
1999-11,0.075,
1999-12,0.048,
2000-01,0.055,
2000-02,0.042,
2000-03,0.055,
2000-04,0.057,
2000-05,0.056,
2000-06,0.053,
2000-07,0.055,
2000-08,0.055,
2000-09,0.055,
2000-10,0.063,
2000-11,0.063,
2000-12,0.061,
2001-01,0.057,
2001-02,0.059,
2001-03,0.064,
2001-04,0.057,
2001-05,0.059,
2001-06,0.062,
2001-07,0.067,
2001-08,0.068,
2001-09,0.070,
2001-10,0.071,
2001-11,0.068,
2001-12,0.063,
2002-01,0.062,
2002-02,0.064,
2002-03,0.060,
2002-04,0.064,
2002-05,0.065,
2002-06,0.066,
2002-07,0.066,
2002-08,0.070,
2002-09,0.074,
2002-10,0.056,
2002-11,0.065,
2002-12,0.058,
2003-01,0.059,
2003-02,0.062,
2003-03,0.060,
2003-04,0.067,
2003-05,0.065,
2003-06,0.064,
2003-07,0.063,
2003-08,0.069,
2003-09,0.066,
2003-10,0.066,
2003-11,0.061,
2003-12,0.060,
2004-01,0.054,
2004-02,0.063,
2004-03,0.059,
2004-04,0.061,
2004-05,0.058,
2004-06,0.058,
2004-07,0.051,
2004-08,0.064,
2004-09,0.058,
2004-10,0.058,
2004-11,0.059,
2004-12,0.057,
2005-01,0.059,
2005-02,0.061,
2005-03,0.066,
2005-04,0.056,
2005-05,0.056,
2005-06,0.057,
2005-07,0.054,
2005-08,0.054,
2005-09,0.057,
2005-10,0.066,
2005-11,0.065,
2005-12,0.069,
2006-01,0.066,
2006-02,0.066,
2006-03,0.065,
2006-04,0.069,
2006-05,0.066,
2006-06,0.057,
2006-07,0.058,
2006-08,0.059,
2006-09,0.062,
2006-10,0.064,
2006-11,0.072,
2006-12,0.068,
2007-01,0.064,
2007-02,0.068,
2007-03,0.077,
2007-04,0.067,
2007-05,0.077,
2007-06,0.078,
2007-07,0.073,
2007-08,0.064,
2007-09,0.073,
2007-10,0.071,
2007-11,0.074,
2007-12,0.072,
2008-01,0.070,
2008-02,0.075,
2008-03,0.077,
2008-04,0.080,
2008-05,0.083,
2008-06,0.089,
2008-07,0.088,
2008-08,0.081,
2008-09,0.082,
2008-10,0.088,
2008-11,0.087,
2008-12,0.074,
2009-01,0.069,
2009-02,0.069,
2009-03,0.087,
2009-04,0.068,
2009-05,0.068,
2009-06,0.069,
2009-07,0.069,
2009-08,0.073,
2009-09,0.070,
2009-10,0.069,
2009-11,0.067,
2009-12,0.062,
2010-01,0.059,
2010-02,0.065,
2010-03,0.071,
2010-04,0.072,
2010-05,0.076,
2010-06,0.075,
2010-07,0.071,
2010-08,0.070,
2010-09,0.072,
2010-10,0.071,
2010-11,0.074,
2010-12,0.065,
2011-01,0.066,
2011-02,0.073,
2011-03,0.074,
2011-04,0.077,
2011-05,0.079,
2011-06,0.079,
2011-07,0.077,
2011-08,0.077,
2011-09,0.079,
2011-10,0.080,
2011-11,0.076,
2011-12,0.072,
2012-01,0.071,
2012-02,0.075,
2012-03,0.079,
2012-04,0.088,
2012-05,0.083,
2012-06,0.089,
2012-07,0.083,
2012-08,0.076,
2012-09,0.079,
2012-10,0.079,
2012-11,0.081,
2012-12,0.082,
2013-01,0.079,
2013-02,0.080,
2013-03,0.085,
2013-04,0.089,
2013-05,0.094,
2013-06,0.095,
2013-07,0.085,
2013-08,0.090,
2013-09,0.092,
2013-10,0.094,
2013-11,0.091,
2013-12,0.083,
2014-01,0.086,
2014-02,0.089,
2014-03,0.098,
2014-04,0.103,
2014-05,0.103,
2014-06,0.107,
2014-07,0.108,
2014-08,0.096,
2014-09,0.099,
2014-10,0.090,
2014-11,0.094,
2014-12,0.074,
