"",BBK01.OECB06R,BBK01.OECB06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:36,
2002-01,0.538,
2002-04,0.470,
2002-07,0.482,
2002-10,0.536,
2003-01,0.477,
2003-04,0.374,
2003-07,0.389,
2003-10,0.336,
2004-01,0.350,
2004-04,0.348,
2004-07,0.327,
2004-10,0.452,
2005-01,0.485,
2005-04,0.476,
2005-07,0.462,
2005-10,0.439,
2006-01,0.397,
2006-04,0.394,
2006-07,0.402,
2006-10,0.358,
2007-01,0.360,
2007-04,0.337,
2007-07,0.298,
2007-10,0.329,
2008-01,0.352,
2008-04,0.446,
2008-07,0.467,
2008-10,0.339,
2009-01,0.313,
2009-04,0.282,
2009-07,0.287,
2009-10,0.279,
2010-01,0.302,
2010-04,0.294,
2010-07,0.301,
2010-10,0.263,
2011-01,0.308,
2011-04,0.301,
2011-07,0.282,
2011-10,0.280,
2012-01,0.298,
2012-04,0.301,
2012-07,0.294,
2012-10,0.302,
2013-01,0.312,
2013-04,0.332,
2013-07,0.278,
2013-10,0.269,
2014-01,0.295,
2014-04,0.289,
2014-07,0.265,
