"",BBEX3.A.KPW.EUR.CA.AA.A04,BBEX3.A.KPW.EUR.CA.AA.A04_FLAGS
"",Exchange rates for the euro in the Democratic People's Republic of Korea  / EUR 1 = KPW * ... (buying),
unit,KPW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:46,
2010,133.77,
2011,136.28,
2012,130.28,
2013,.,"No value available, comment"
2014,131.28,
"","General: * According to unconfirmed press reports, a currency conversion took place at the end of November / beginning of December 2009 at a rate of 100 won (old) = 1 won (new); until the end of December 2009, the exchange rates were communicated to us by the Democratic People's Republic of Korea in (old) won.",
"",Source: Foreign Trade Bank of the Democratic People's Republic of Korea,
"",Methodology: Calculated on the basis of month-end rates.,
"",Comment on 2013: From April to July 2013 no buying rates were available; for middle rates see BBEX2:A:KPW:EUR:CA:AC:A04.,
