"",BBK01.CEHO0N,BBK01.CEHO0N_FLAGS
"",Other deposits debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:23,
1991-01,2.9,
1991-04,-2.5,
1991-07,5.4,
1991-10,0.1,
1992-01,5.2,
1992-04,7.3,
1992-07,17.8,
1992-10,1.4,
1993-01,1.0,
1993-04,7.2,
1993-07,3.0,
1993-10,10.7,
1994-01,5.7,
1994-04,5.6,
1994-07,10.8,
1994-10,15.6,
1995-01,21.4,
1995-04,16.6,
1995-07,14.5,
1995-10,3.1,
1996-01,11.0,
1996-04,-3.4,
1996-07,-1.3,
1996-10,2.6,
1997-01,30.9,
1997-04,19.3,
1997-07,3.1,
1997-10,16.0,
1998-01,26.3,
1998-04,15.6,
1998-07,25.7,
1998-10,25.8,
1999-01,5.3,
1999-04,11.8,
1999-07,32.0,
1999-10,51.2,
2000-01,17.1,
2000-04,0.7,
2000-07,-4.8,
2000-10,42.3,
2001-01,77.2,
2001-04,-14.8,
2001-07,4.0,
2001-10,12.4,
2002-01,-18.2,
2002-04,-15.5,
2002-07,27.9,
2002-10,16.4,
2003-01,-0.6,
2003-04,-14.1,
2003-07,-5.1,
2003-10,33.5,
2004-01,-12.0,
2004-04,-44.2,
2004-07,23.4,
2004-10,66.1,
2005-01,-27.3,
2005-04,-24.3,
2005-07,15.0,
2005-10,24.2,
2006-01,-3.2,
2006-04,-31.0,
2006-07,10.0,
2006-10,-6.0,
2007-01,-2.4,
2007-04,-1.7,
2007-07,55.2,
2007-10,25.6,
2008-01,1.7,
2008-04,-31.6,
2008-07,5.5,
2008-10,-107.7,
2009-01,-80.5,
2009-04,6.4,
2009-07,-11.7,
2009-10,-15.1,
2010-01,-23.0,
2010-04,8.5,
2010-07,36.1,
2010-10,6.2,
2011-01,-44.4,
2011-04,-43.3,
2011-07,29.1,
2011-10,-33.1,
2012-01,97.4,
2012-04,-35.4,
2012-07,-40.7,
2012-10,-38.4,
2013-01,-4.4,
2013-04,-19.3,
2013-07,-53.4,
2013-10,-24.0,
2014-01,3.5,
