"",BBEX3.M.LBP.USD.CA.AC.A01,BBEX3.M.LBP.USD.CA.AC.A01_FLAGS
1999-04,1508.0000,
1999-05,1508.0000,
1999-06,1508.0000,
1999-07,1508.0000,
1999-08,1508.0000,
1999-09,1507.5000,
1999-10,1507.5000,
1999-11,1507.5000,
1999-12,1507.5000,
2000-01,1507.5000,
2000-02,1507.5000,
2000-03,1507.5000,
2000-04,1507.5000,
2000-05,1507.5000,
2000-06,1507.5000,
2000-07,1507.5000,
2000-08,1507.5000,
2000-09,1507.5000,
2000-10,1507.5000,
2000-11,1507.5000,
2000-12,1507.5000,
2001-01,1507.5000,
2001-02,1507.5000,
2001-03,1507.5000,
2001-04,1507.5000,
2001-05,1507.5000,
2001-06,1507.5000,
2001-07,1507.5000,
2001-08,1507.5000,
2001-09,1507.5000,
2001-10,1507.5000,
2001-11,1507.5000,
2001-12,1507.5000,
2002-01,1507.5000,
2002-02,1507.5000,
2002-03,1507.5000,
2002-04,1507.5000,
2002-05,1507.5000,
2002-06,1507.5000,
2002-07,1507.5000,
2002-08,1507.5000,
2002-09,1507.5000,
2002-10,1507.5000,
2002-11,1507.5000,
2002-12,1507.5000,
2003-01,1507.5000,
2003-02,1507.5000,
2003-03,1507.5000,
2003-04,1507.5000,
2003-05,1507.5000,
2003-06,1507.5000,
2003-07,1507.5000,
2003-08,1507.5000,
2003-09,1507.5000,
2003-10,1507.5000,
2003-11,1507.5000,
2003-12,1507.5000,
2004-01,1507.5000,
2004-02,1507.5000,
2004-03,1507.5000,
2004-04,1507.5000,
2004-05,1507.5000,
2004-06,1507.5000,
2004-07,1507.5000,
2004-08,1507.5000,
2004-09,1507.5000,
2004-10,1507.5000,
2004-11,1507.5000,
2004-12,1507.5000,
2005-01,1507.5000,
2005-02,1507.5000,
2005-03,1507.5000,
2005-04,1507.5000,
2005-05,1507.5000,
2005-06,1507.5000,
2005-07,1507.5000,
2005-08,1507.5000,
2005-09,1507.5000,
2005-10,1507.5000,
2005-11,1507.5000,
2005-12,1507.5000,
2006-01,1507.5000,
2006-02,1507.5000,
2006-03,1507.5000,
2006-04,1507.5000,
2006-05,1507.5000,
2006-06,1507.5000,
2006-07,1507.5000,
2006-08,1507.5000,
2006-09,1507.5000,
2006-10,1507.5000,
2006-11,1507.5000,
2006-12,1507.5000,
2007-01,1507.5000,
2007-02,1507.5000,
2007-03,1507.5000,
2007-04,1507.5000,
2007-05,1507.5000,
2007-06,1507.5000,
2007-07,1507.5000,
2007-08,1507.5000,
2007-09,1507.5000,
2007-10,1507.5000,
2007-11,1507.5000,
2007-12,1507.5000,
2008-01,1507.5000,
2008-02,1507.5000,
2008-03,1507.5000,
2008-04,1507.5000,
2008-05,1507.5000,
2008-06,1507.5000,
2008-07,1507.5000,
2008-08,1507.5000,
2008-09,1507.5000,
2008-10,1507.5000,
2008-11,1507.5000,
2008-12,1507.5000,
2009-01,1507.5000,
2009-02,1507.5000,
2009-03,1507.5000,
2009-04,1507.5000,
2009-05,1507.5000,
2009-06,1507.5000,
2009-07,1507.5000,
2009-08,1507.5000,
2009-09,1507.5000,
2009-10,1507.5000,
2009-11,1507.5000,
2009-12,1507.5000,
2010-01,1507.5000,
2010-02,1507.5000,
2010-03,1507.5000,
2010-04,1507.5000,
2010-05,1507.5000,
2010-06,1507.5000,
2010-07,1507.5000,
2010-08,1507.5000,
2010-09,1507.5000,
2010-10,1507.5000,
2010-11,1507.5000,
2010-12,1507.5000,
2011-01,1507.5000,
2011-02,1507.5000,
2011-03,1507.5000,
2011-04,1507.5000,
2011-05,1507.5000,
2011-06,1507.5000,
2011-07,1507.5000,
2011-08,1507.5000,
2011-09,1507.5000,
2011-10,1507.5000,
2011-11,1507.5000,
2011-12,1507.5000,
2012-01,1507.5000,
2012-02,1507.5000,
2012-03,1507.5000,
2012-04,1507.5000,
2012-05,1507.5000,
2012-06,1507.5000,
2012-07,1507.5000,
2012-08,1507.5000,
2012-09,1507.5000,
2012-10,1507.5000,
2012-11,1507.5000,
2012-12,1507.5000,
2013-01,1507.5000,
2013-02,1507.5000,
2013-03,1507.5000,
2013-04,1507.5000,
2013-05,1507.5000,
2013-06,1507.5000,
2013-07,1507.5000,
2013-08,1507.5000,
2013-09,1507.5000,
2013-10,1507.5000,
2013-11,1507.5000,
2013-12,1507.5000,
2014-01,1507.5000,
2014-02,1507.5000,
2014-03,1507.5000,
2014-04,1507.5000,
2014-05,1507.5000,
2014-06,1507.5000,
2014-07,1507.5000,
2014-08,1507.5000,
2014-09,1507.5000,
2014-10,1507.5000,
2014-11,1507.5000,
2014-12,1507.5000,
2015-01,1507.5000,
2015-02,1507.5000,
"",General: From September 1999 de facto exchange rate anchor to the US dollar (USD 1 = LBP 1507.50).,
"","Source: Banque du Liban, Beirut (also Reuters in 1983 and 1984).",
