"",BBK01.CELK0N,BBK01.CELK0N_FLAGS
"",Other equity                                            debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:03,
1999-01,0.5,
1999-04,0.4,
1999-07,2.5,
1999-10,-7.0,
2000-01,-0.3,
2000-04,13.5,
2000-07,8.0,
2000-10,84.7,
2001-01,13.7,
2001-04,3.8,
2001-07,-0.5,
2001-10,3.7,
2002-01,8.8,
2002-04,8.3,
2002-07,4.1,
2002-10,6.1,
2003-01,14.0,
2003-04,0.9,
2003-07,4.8,
2003-10,18.0,
2004-01,8.6,
2004-04,-0.2,
2004-07,5.5,
2004-10,17.1,
2005-01,3.8,
2005-04,5.1,
2005-07,2.9,
2005-10,-2.4,
2006-01,2.2,
2006-04,0.4,
2006-07,4.5,
2006-10,20.7,
2007-01,5.9,
2007-04,6.5,
2007-07,7.7,
2007-10,12.3,
2008-01,7.7,
2008-04,7.0,
2008-07,1.8,
2008-10,3.1,
2009-01,-1.3,
2009-04,-0.6,
2009-07,-2.1,
2009-10,7.6,
2010-01,1.8,
2010-04,2.9,
2010-07,3.7,
2010-10,7.4,
2011-01,4.7,
2011-04,2.2,
2011-07,8.3,
2011-10,3.6,
2012-01,1.7,
2012-04,-1.2,
2012-07,-5.0,
2012-10,10.7,
2013-01,-1.0,
2013-04,-0.6,
2013-07,0.6,
2013-10,4.4,
2014-01,1.4,
2014-04,-0.7,
2014-07,0.9,
