"",BBK01.CEFL02,BBK01.CEFL02_FLAGS
"",Investment fund shares or units                                             debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:03,
1999-01,310.6,
1999-04,334.9,
1999-07,334.5,
1999-10,393.2,
2000-01,415.9,
2000-04,419.4,
2000-07,434.5,
2000-10,421.6,
2001-01,409.2,
2001-04,418.3,
2001-07,381.8,
2001-10,407.1,
2002-01,412.3,
2002-04,394.7,
2002-07,370.1,
2002-10,381.7,
2003-01,372.6,
2003-04,395.1,
2003-07,403.0,
2003-10,408.7,
2004-01,428.9,
2004-04,428.9,
2004-07,428.8,
2004-10,442.0,
2005-01,463.6,
2005-04,488.9,
2005-07,515.8,
2005-10,525.4,
2006-01,545.6,
2006-04,536.2,
2006-07,565.1,
2006-10,599.5,
2007-01,607.8,
2007-04,624.9,
2007-07,629.8,
2007-10,612.0,
2008-01,612.0,
2008-04,606.7,
2008-07,598.6,
2008-10,576.3,
2009-01,572.3,
2009-04,601.0,
2009-07,626.7,
2009-10,665.5,
2010-01,703.0,
2010-04,719.1,
2010-07,761.1,
2010-10,778.5,
2011-01,788.6,
2011-04,806.9,
2011-07,784.1,
2011-10,801.7,
2012-01,860.6,
2012-04,864.7,
2012-07,918.2,
2012-10,969.9,
2013-01,1014.0,
2013-04,1008.8,
2013-07,1045.3,
2013-10,1071.6,
2014-01,1111.7,
2014-04,1161.1,
2014-07,1200.3,
