"",BBK01.OEAF01S,BBK01.OEAF01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:48,
2002-01,8.149,
2002-04,8.241,
2002-07,8.358,
2002-10,8.480,
2003-01,8.501,
2003-04,8.568,
2003-07,8.688,
2003-10,8.749,
2004-01,8.656,
2004-04,8.683,
2004-07,8.691,
2004-10,8.231,
2005-01,9.108,
2005-04,9.174,
2005-07,9.197,
2005-10,9.120,
2006-01,9.078,
2006-04,9.131,
2006-07,9.206,
2006-10,9.254,
2007-01,9.223,
2007-04,9.362,
2007-07,9.327,
2007-10,9.296,
2008-01,9.196,
2008-04,9.173,
2008-07,9.266,
2008-10,9.240,
2009-01,9.195,
2009-04,9.724,
2009-07,9.850,
2009-10,9.808,
2010-01,9.814,
2010-04,9.903,
2010-07,10.063,
2010-10,9.968,
2011-01,10.114,
2011-04,10.177,
2011-07,10.279,
2011-10,10.358,
2012-01,10.417,
2012-04,10.575,
2012-07,10.714,
2012-10,10.807,
2013-01,10.892,
2013-04,11.040,
2013-07,11.233,
2013-10,11.362,
2014-01,11.452,
2014-04,11.664,
2014-07,11.886,
