"",BBK01.OUU110,BBK01.OUU110_FLAGS
"",Participating interests / in foreign banks / Building and loan associations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:53:18,
1999-01,0.036,
1999-02,0.036,
1999-03,0.038,
1999-04,0.038,
1999-05,0.038,
1999-06,0.038,
1999-07,0.038,
1999-08,0.038,
1999-09,0.038,
1999-10,0.038,
1999-11,0.038,
1999-12,0.038,
2000-01,0.023,
2000-02,0.023,
2000-03,0.023,
2000-04,0.023,
2000-05,0.023,
2000-06,0.023,
2000-07,0.023,
2000-08,0.023,
2000-09,0.023,
2000-10,0.023,
2000-11,0.023,
2000-12,0.023,
2001-01,0.019,
2001-02,0.019,
2001-03,0.021,
2001-04,0.021,
2001-05,0.022,
2001-06,0.022,
2001-07,0.022,
2001-08,0.022,
2001-09,0.022,
2001-10,0.022,
2001-11,0.027,
2001-12,0.027,
2002-01,0.027,
2002-02,0.027,
2002-03,0.027,
2002-04,0.027,
2002-05,0.027,
2002-06,0.027,
2002-07,0.027,
2002-08,0.025,
2002-09,0.025,
2002-10,0.025,
2002-11,0.029,
2002-12,0.029,
2003-01,0.029,
2003-02,0.029,
2003-03,0.029,
2003-04,0.033,
2003-05,0.033,
2003-06,0.033,
2003-07,0.033,
2003-08,0.033,
2003-09,0.033,
2003-10,0.033,
2003-11,0.033,
2003-12,0.033,
2004-01,0.033,
2004-02,0.033,
2004-03,0.033,
2004-04,0.038,
2004-05,0.038,
2004-06,0.038,
2004-07,0.038,
2004-08,0.038,
2004-09,0.038,
2004-10,0.038,
2004-11,0.038,
2004-12,0.038,
2005-01,0.038,
2005-02,0.038,
2005-03,0.038,
2005-04,0.038,
2005-05,0.038,
2005-06,0.038,
2005-07,0.045,
2005-08,0.045,
2005-09,0.045,
2005-10,0.045,
2005-11,0.046,
2005-12,0.046,
2006-01,0.046,
2006-02,0.046,
2006-03,0.046,
2006-04,0.049,
2006-05,0.049,
2006-06,0.049,
2006-07,0.049,
2006-08,0.049,
2006-09,0.049,
2006-10,0.050,
2006-11,0.050,
2006-12,0.046,
2007-01,0.042,
2007-02,0.042,
2007-03,0.042,
2007-04,0.042,
2007-05,0.042,
2007-06,0.042,
2007-07,0.041,
2007-08,0.041,
2007-09,0.041,
2007-10,0.041,
2007-11,0.041,
2007-12,0.044,
2008-01,0.044,
2008-02,0.050,
2008-03,0.043,
2008-04,0.043,
2008-05,0.043,
2008-06,0.038,
2008-07,0.038,
2008-08,0.038,
2008-09,0.038,
2008-10,0.038,
2008-11,0.054,
2008-12,0.054,
2009-01,0.054,
2009-02,0.054,
2009-03,0.054,
2009-04,0.054,
2009-05,0.054,
2009-06,0.054,
2009-07,0.054,
2009-08,0.054,
2009-09,0.054,
2009-10,0.054,
2009-11,0.054,
2009-12,0.055,
2010-01,0.055,
2010-02,0.055,
2010-03,0.055,
2010-04,0.055,
2010-05,0.055,
2010-06,0.055,
2010-07,0.055,
2010-08,0.055,
2010-09,0.055,
2010-10,0.055,
2010-11,0.055,
2010-12,0.058,
2011-01,0.058,
2011-02,0.058,
2011-03,0.058,
2011-04,0.058,
2011-05,0.058,
2011-06,0.085,
2011-07,0.085,
2011-08,0.085,
2011-09,0.085,
2011-10,0.085,
2011-11,0.085,
2011-12,0.085,
2012-01,0.084,
2012-02,0.083,
2012-03,0.084,
2012-04,0.084,
2012-05,0.084,
2012-06,0.084,
2012-07,0.084,
2012-08,0.084,
2012-09,0.084,
2012-10,0.084,
2012-11,0.084,
2012-12,0.084,
2013-01,0.084,
2013-02,0.084,
2013-03,0.084,
2013-04,0.084,
2013-05,0.084,
2013-06,0.084,
2013-07,0.084,
2013-08,0.084,
2013-09,0.084,
2013-10,0.084,
2013-11,0.084,
2013-12,0.092,
2014-01,0.092,
2014-02,0.092,
2014-03,0.092,
2014-04,0.092,
2014-05,0.092,
2014-06,0.092,
2014-07,0.092,
2014-08,0.092,
2014-09,0.092,
2014-10,0.092,
2014-11,0.092,
2014-12,0.092,Provisional value
