"",BBK01.SU0024,BBK01.SU0024_FLAGS
"","Deposit rates of banks / Savings deposits with minimum rates of return, with agreed notice of 3 months / Highest rate of spread",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:21,
1967-06,4.50,
1967-07,.,No value available
1967-08,.,No value available
1967-09,4.00,
1967-10,.,No value available
1967-11,.,No value available
1967-12,4.00,
1968-01,.,No value available
1968-02,.,No value available
1968-03,3.75,
1968-04,.,No value available
1968-05,.,No value available
1968-06,3.75,
1968-07,.,No value available
1968-08,.,No value available
1968-09,3.75,
1968-10,.,No value available
1968-11,3.75,
1968-12,.,No value available
1969-01,.,No value available
1969-02,3.75,
1969-03,.,No value available
1969-04,.,No value available
1969-05,3.75,
1969-06,.,No value available
1969-07,.,No value available
1969-08,4.00,
1969-09,.,No value available
1969-10,.,No value available
1969-11,4.00,
1969-12,.,No value available
1970-01,.,No value available
1970-02,4.50,
1970-03,.,No value available
1970-04,.,No value available
1970-05,5.00,
1970-06,.,No value available
1970-07,.,No value available
1970-08,5.00,
1970-09,.,No value available
1970-10,.,No value available
1970-11,5.00,
1970-12,.,No value available
1971-01,5.00,
1971-02,5.00,
1971-03,.,No value available
1971-04,.,No value available
1971-05,5.00,
1971-06,.,No value available
1971-07,.,No value available
1971-08,5.00,
1971-09,.,No value available
1971-10,.,No value available
1971-11,5.00,
1971-12,.,No value available
1972-01,.,No value available
1972-02,4.75,
1972-03,.,No value available
1972-04,.,No value available
1972-05,4.50,
1972-06,.,No value available
1972-07,.,No value available
1972-08,4.50,
1972-09,.,No value available
1972-10,.,No value available
1972-11,4.50,
1972-12,.,No value available
1973-01,.,No value available
1973-02,5.00,
1973-03,.,No value available
1973-04,.,No value available
1973-05,5.00,
1973-06,.,No value available
1973-07,6.00,
1973-08,6.00,
1973-09,.,No value available
1973-10,.,No value available
1973-11,6.00,
1973-12,.,No value available
1974-01,.,No value available
1974-02,6.00,
1974-03,.,No value available
1974-04,.,No value available
1974-05,6.00,
1974-06,.,No value available
1974-07,.,No value available
1974-08,6.00,
1974-09,.,No value available
1974-10,.,No value available
1974-11,6.00,
1974-12,.,No value available
1975-01,.,No value available
1975-02,5.50,
1975-03,5.50,
1975-04,5.50,
1975-05,5.00,
1975-06,5.00,
1975-07,4.50,
1975-08,4.50,
1975-09,4.25,
1975-10,4.25,
1975-11,4.25,
1975-12,4.25,
1976-01,4.25,
1976-02,4.25,
1976-03,4.25,
1976-04,4.00,
1976-05,3.75,
1976-06,3.75,
1976-07,3.75,
1976-08,3.75,
1976-09,3.75,
1976-10,3.75,
1976-11,3.75,
1976-12,3.75,
1977-01,4.00,
1977-02,3.75,
1977-03,3.75,
1977-04,3.50,
1977-05,3.50,
1977-06,3.25,
1977-07,3.25,
1977-08,3.25,
1977-09,3.50,
1977-10,3.25,
1977-11,3.25,
1977-12,3.25,
1978-01,3.00,
1978-02,3.00,
1978-03,3.00,
1978-04,3.00,
1978-05,3.00,
1978-06,3.00,
1978-07,3.00,
1978-08,3.00,
