"",BBK01.WZ3413,BBK01.WZ3413_FLAGS
"","Yields, derived from the term structure of interest rates, on listed Federal securities with annual coupon payments / residual maturity of 14.0 years / end of month",
unit,PROZENT9 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:36,
1986-06,6.15,
1986-07,6.11,
1986-08,5.93,
1986-09,6.31,
1986-10,6.57,
1986-11,6.22,
1986-12,6.25,
1987-01,6.20,
1987-02,6.37,
1987-03,6.02,
1987-04,6.02,
1987-05,6.06,
1987-06,6.51,
1987-07,6.71,
1987-08,6.86,
1987-09,7.18,
1987-10,6.79,
1987-11,6.70,
1987-12,6.86,
1988-01,7.00,
1988-02,6.67,
1988-03,6.72,
1988-04,6.94,
1988-05,7.11,
1988-06,7.08,
1988-07,7.20,
1988-08,7.13,
1988-09,6.88,
1988-10,6.64,
1988-11,6.80,
1988-12,6.81,
1989-01,6.86,
1989-02,7.07,
1989-03,7.08,
1989-04,6.93,
1989-05,7.08,
1989-06,6.86,
1989-07,6.69,
1989-08,6.88,
1989-09,7.03,
1989-10,7.15,
1989-11,7.36,
1989-12,7.33,
1990-01,7.78,
1990-02,8.62,
1990-03,8.42,
1990-04,8.89,
1990-05,8.77,
1990-06,8.68,
1990-07,8.52,
1990-08,8.94,
1990-09,9.10,
1990-10,8.92,
1990-11,8.73,
1990-12,9.09,
1991-01,8.50,
1991-02,8.23,
1991-03,8.35,
1991-04,8.18,
1991-05,8.13,
1991-06,8.34,
1991-07,8.55,
1991-08,8.26,
1991-09,8.22,
1991-10,8.14,
1991-11,8.03,
1991-12,7.86,
1992-01,7.65,
1992-02,7.65,
1992-03,7.69,
1992-04,7.86,
1992-05,7.83,
1992-06,7.93,
1992-07,7.95,
1992-08,7.83,
1992-09,7.39,
1992-10,7.24,
1992-11,7.17,
1992-12,7.09,
1993-01,6.99,
1993-02,6.75,
1993-03,6.82,
1993-04,6.87,
1993-05,6.93,
1993-06,6.77,
1993-07,6.63,
1993-08,6.30,
1993-09,6.32,
1993-10,6.11,
1993-11,6.11,
1993-12,5.97,
1994-01,6.02,
1994-02,6.57,
1994-03,6.74,
1994-04,7.01,
1994-05,7.31,
1994-06,7.28,
1994-07,7.26,
1994-08,7.53,
1994-09,7.79,
1994-10,7.76,
1994-11,7.59,
1994-12,7.79,
1995-01,7.60,
1995-02,7.50,
1995-03,7.48,
1995-04,7.33,
1995-05,6.97,
1995-06,7.33,
1995-07,7.18,
1995-08,7.09,
1995-09,7.10,
1995-10,6.90,
1995-11,6.65,
1995-12,6.47,
1996-01,6.31,
1996-02,6.83,
1996-03,6.85,
1996-04,6.71,
1996-05,6.86,
1996-06,6.92,
1996-07,6.75,
1996-08,6.79,
1996-09,6.52,
1996-10,6.44,
1996-11,6.20,
1996-12,6.27,
1997-01,6.24,
1997-02,5.90,
1997-03,6.28,
1997-04,6.23,
1997-05,6.35,
1997-06,6.08,
1997-07,5.87,
1997-08,6.03,
1997-09,5.82,
1997-10,5.90,
1997-11,5.78,
1997-12,5.58,
1998-01,5.33,
1998-02,5.20,
1998-03,5.17,
1998-04,5.33,
1998-05,5.16,
1998-06,5.09,
1998-07,4.94,
1998-08,4.61,
1998-09,4.39,
1998-10,4.59,
1998-11,4.39,
1998-12,4.33,
1999-01,4.07,
1999-02,4.44,
1999-03,4.49,
1999-04,4.32,
1999-05,4.58,
1999-06,4.93,
1999-07,5.10,
1999-08,5.28,
1999-09,5.44,
1999-10,5.45,
1999-11,5.42,
1999-12,5.57,
2000-01,5.77,
2000-02,5.65,
2000-03,5.38,
2000-04,5.53,
2000-05,5.40,
2000-06,5.39,
2000-07,5.37,
2000-08,5.38,
2000-09,5.37,
2000-10,5.38,
2000-11,5.24,
2000-12,5.08,
2001-01,5.04,
2001-02,4.98,
2001-03,4.99,
2001-04,5.29,
2001-05,5.47,
2001-06,5.36,
2001-07,5.22,
2001-08,5.12,
2001-09,5.17,
2001-10,4.80,
2001-11,4.89,
2001-12,5.19,
2002-01,5.15,
2002-02,5.15,
2002-03,5.42,
2002-04,5.31,
2002-05,5.34,
2002-06,5.15,
2002-07,5.07,
2002-08,4.81,
2002-09,4.64,
2002-10,4.86,
2002-11,4.85,
2002-12,4.57,
2003-01,4.39,
2003-02,4.38,
2003-03,4.47,
2003-04,4.55,
2003-05,4.15,
2003-06,4.33,
2003-07,4.48,
2003-08,4.52,
2003-09,4.47,
2003-10,4.69,
2003-11,4.75,
2003-12,4.63,
2004-01,4.64,
2004-02,4.45,
2004-03,4.39,
2004-04,4.58,
2004-05,4.65,
2004-06,4.64,
2004-07,4.55,
2004-08,4.38,
2004-09,4.31,
2004-10,4.20,
2004-11,4.09,
2004-12,3.98,
2005-01,3.79,
2005-02,3.93,
2005-03,3.93,
2005-04,3.70,
2005-05,3.54,
2005-06,3.42,
2005-07,3.43,
2005-08,3.39,
2005-09,3.41,
2005-10,3.62,
2005-11,3.61,
2005-12,3.44,
2006-01,3.64,
2006-02,3.65,
2006-03,3.90,
2006-04,4.14,
2006-05,4.11,
2006-06,4.24,
2006-07,4.09,
2006-08,3.94,
2006-09,3.79,
2006-10,3.87,
2006-11,3.81,
2006-12,4.03,
2007-01,4.18,
2007-02,4.05,
2007-03,4.16,
2007-04,4.32,
2007-05,4.48,
2007-06,4.65,
2007-07,4.46,
2007-08,4.43,
2007-09,4.50,
2007-10,4.37,
2007-11,4.33,
2007-12,4.56,
2008-01,4.26,
2008-02,4.27,
2008-03,4.30,
2008-04,4.47,
2008-05,4.67,
2008-06,4.80,
2008-07,4.67,
2008-08,4.43,
2008-09,4.40,
2008-10,4.26,
2008-11,3.76,
2008-12,3.52,
2009-01,3.89,
2009-02,3.79,
2009-03,3.74,
2009-04,3.88,
2009-05,4.18,
2009-06,4.01,
2009-07,3.89,
2009-08,3.72,
2009-09,3.72,
2009-10,3.84,
2009-11,3.68,
2009-12,3.89,
2010-01,3.72,
2010-02,3.66,
2010-03,3.62,
2010-04,3.50,
2010-05,3.16,
2010-06,3.11,
2010-07,3.19,
2010-08,2.53,
2010-09,2.71,
2010-10,2.97,
2010-11,3.14,
2010-12,3.42,
2011-01,3.55,
2011-02,3.53,
2011-03,3.72,
2011-04,3.63,
2011-05,3.42,
2011-06,3.46,
2011-07,3.13,
2011-08,2.71,
2011-09,2.45,
2011-10,2.70,
2011-11,2.86,
2011-12,2.35,
2012-01,2.41,
2012-02,2.37,
2012-03,2.40,
2012-04,2.25,
2012-05,1.77,
2012-06,2.15,
2012-07,1.89,
2012-08,1.88,
2012-09,1.98,
2012-10,2.04,
2012-11,1.93,
2012-12,1.83,
2013-01,2.05,
2013-02,1.99,
2013-03,1.82,
2013-04,1.72,
2013-05,1.98,
2013-06,2.18,
2013-07,2.20,
2013-08,2.36,
2013-09,2.29,
2013-10,2.24,
2013-11,2.30,
2013-12,2.52,
2014-01,2.19,
2014-02,2.13,
2014-03,2.11,
2014-04,2.06,
2014-05,1.90,
2014-06,1.79,
2014-07,1.67,
2014-08,1.37,
2014-09,1.45,
2014-10,1.27,
2014-11,1.11,
2014-12,0.95,
2015-01,0.61,
