"",BBK01.WZ3435,BBK01.WZ3435_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 13.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:19,
1986-06,6.23,
1986-07,6.20,
1986-08,6.02,
1986-09,6.43,
1986-10,6.70,
1986-11,6.31,
1986-12,6.34,
1987-01,6.34,
1987-02,6.54,
1987-03,6.15,
1987-04,6.17,
1987-05,6.23,
1987-06,6.73,
1987-07,6.94,
1987-08,7.08,
1987-09,7.43,
1987-10,6.97,
1987-11,6.93,
1987-12,7.13,
1988-01,7.32,
1988-02,6.94,
1988-03,6.99,
1988-04,7.22,
1988-05,7.41,
1988-06,7.33,
1988-07,7.39,
1988-08,7.30,
1988-09,7.04,
1988-10,6.80,
1988-11,6.96,
1988-12,6.93,
1989-01,6.91,
1989-02,7.07,
1989-03,7.11,
1989-04,6.94,
1989-05,7.07,
1989-06,6.85,
1989-07,6.68,
1989-08,6.86,
1989-09,6.98,
1989-10,7.09,
1989-11,7.29,
1989-12,7.27,
1990-01,7.71,
1990-02,8.55,
1990-03,8.34,
1990-04,8.86,
1990-05,8.72,
1990-06,8.64,
1990-07,8.50,
1990-08,8.92,
1990-09,9.08,
1990-10,8.90,
1990-11,8.66,
1990-12,9.09,
1991-01,8.38,
1991-02,8.15,
1991-03,8.28,
1991-04,8.08,
1991-05,8.05,
1991-06,8.25,
1991-07,8.44,
1991-08,8.14,
1991-09,8.09,
1991-10,8.00,
1991-11,7.88,
1991-12,7.72,
1992-01,7.54,
1992-02,7.55,
1992-03,7.55,
1992-04,7.75,
1992-05,7.72,
1992-06,7.82,
1992-07,7.82,
1992-08,7.71,
1992-09,7.32,
1992-10,7.23,
1992-11,7.16,
1992-12,7.10,
1993-01,7.01,
1993-02,6.82,
1993-03,6.91,
1993-04,6.94,
1993-05,7.01,
1993-06,6.85,
1993-07,6.71,
1993-08,6.37,
1993-09,6.40,
1993-10,6.20,
1993-11,6.22,
1993-12,6.09,
1994-01,6.14,
1994-02,6.70,
1994-03,6.89,
1994-04,7.17,
1994-05,7.50,
1994-06,7.44,
1994-07,7.42,
1994-08,7.70,
1994-09,7.94,
1994-10,7.91,
1994-11,7.72,
1994-12,7.89,
1995-01,7.71,
1995-02,7.62,
1995-03,7.70,
1995-04,7.54,
1995-05,7.20,
1995-06,7.56,
1995-07,7.41,
1995-08,7.32,
1995-09,7.38,
1995-10,7.17,
1995-11,6.92,
1995-12,6.73,
1996-01,6.56,
1996-02,7.12,
1996-03,7.13,
1996-04,7.00,
1996-05,7.17,
1996-06,7.19,
1996-07,7.00,
1996-08,7.09,
1996-09,6.78,
1996-10,6.70,
1996-11,6.45,
1996-12,6.53,
1997-01,6.52,
1997-02,6.11,
1997-03,6.53,
1997-04,6.48,
1997-05,6.60,
1997-06,6.32,
1997-07,6.06,
1997-08,6.21,
1997-09,5.97,
1997-10,6.02,
1997-11,5.89,
1997-12,5.69,
1998-01,5.43,
1998-02,5.29,
1998-03,5.24,
1998-04,5.41,
1998-05,5.24,
1998-06,5.16,
1998-07,5.00,
1998-08,4.67,
1998-09,4.43,
1998-10,4.65,
1998-11,4.45,
1998-12,4.40,
1999-01,4.12,
1999-02,4.51,
1999-03,4.58,
1999-04,4.40,
1999-05,4.69,
1999-06,5.03,
1999-07,5.20,
1999-08,5.38,
1999-09,5.56,
1999-10,5.53,
1999-11,5.49,
1999-12,5.65,
2000-01,5.85,
2000-02,5.72,
2000-03,5.44,
2000-04,5.59,
2000-05,5.43,
2000-06,5.43,
2000-07,5.38,
2000-08,5.39,
2000-09,5.39,
2000-10,5.40,
2000-11,5.27,
2000-12,5.12,
2001-01,5.08,
2001-02,5.01,
2001-03,5.04,
2001-04,5.34,
2001-05,5.56,
2001-06,5.45,
2001-07,5.31,
2001-08,5.21,
2001-09,5.29,
2001-10,4.89,
2001-11,4.98,
2001-12,5.29,
2002-01,5.21,
2002-02,5.23,
2002-03,5.49,
2002-04,5.38,
2002-05,5.42,
2002-06,5.22,
2002-07,5.16,
2002-08,4.89,
2002-09,4.73,
2002-10,4.97,
2002-11,4.96,
2002-12,4.67,
2003-01,4.49,
2003-02,4.50,
2003-03,4.57,
2003-04,4.67,
2003-05,4.25,
2003-06,4.45,
2003-07,4.60,
2003-08,4.62,
2003-09,4.59,
2003-10,4.80,
2003-11,4.86,
2003-12,4.74,
2004-01,4.77,
2004-02,4.57,
2004-03,4.51,
2004-04,4.70,
2004-05,4.77,
2004-06,4.75,
2004-07,4.65,
2004-08,4.47,
2004-09,4.40,
2004-10,4.29,
2004-11,4.17,
2004-12,4.04,
2005-01,3.85,
2005-02,3.99,
2005-03,3.99,
2005-04,3.75,
2005-05,3.59,
2005-06,3.47,
2005-07,3.47,
2005-08,3.42,
2005-09,3.44,
2005-10,3.65,
2005-11,3.64,
2005-12,3.46,
2006-01,3.67,
2006-02,3.67,
2006-03,3.93,
2006-04,4.17,
2006-05,4.15,
2006-06,4.27,
2006-07,4.11,
2006-08,3.96,
2006-09,3.80,
2006-10,3.88,
2006-11,3.82,
2006-12,4.03,
2007-01,4.19,
2007-02,4.06,
2007-03,4.17,
2007-04,4.33,
2007-05,4.49,
2007-06,4.66,
2007-07,4.47,
2007-08,4.45,
2007-09,4.52,
2007-10,4.39,
2007-11,4.36,
2007-12,4.59,
2008-01,4.31,
2008-02,4.33,
2008-03,4.34,
2008-04,4.51,
2008-05,4.69,
2008-06,4.81,
2008-07,4.69,
2008-08,4.45,
2008-09,4.46,
2008-10,4.36,
2008-11,3.83,
2008-12,3.59,
2009-01,4.01,
2009-02,3.91,
2009-03,3.85,
2009-04,4.00,
2009-05,4.32,
2009-06,4.13,
2009-07,4.00,
2009-08,3.81,
2009-09,3.81,
2009-10,3.95,
2009-11,3.78,
2009-12,4.00,
2010-01,3.83,
2010-02,3.78,
2010-03,3.73,
2010-04,3.61,
2010-05,3.25,
2010-06,3.20,
2010-07,3.27,
2010-08,2.57,
2010-09,2.75,
2010-10,3.03,
2010-11,3.23,
2010-12,3.53,
2011-01,3.63,
2011-02,3.62,
2011-03,3.80,
2011-04,3.70,
2011-05,3.49,
2011-06,3.53,
2011-07,3.18,
2011-08,2.74,
2011-09,2.47,
2011-10,2.74,
2011-11,2.92,
2011-12,2.39,
2012-01,2.44,
2012-02,2.40,
2012-03,2.43,
2012-04,2.27,
2012-05,1.76,
2012-06,2.15,
2012-07,1.88,
2012-08,1.88,
2012-09,1.97,
2012-10,2.04,
2012-11,1.92,
2012-12,1.82,
2013-01,2.04,
2013-02,1.98,
2013-03,1.80,
2013-04,1.70,
2013-05,1.97,
2013-06,2.19,
2013-07,2.21,
2013-08,2.38,
2013-09,2.30,
2013-10,2.24,
2013-11,2.32,
2013-12,2.55,
2014-01,2.20,
2014-02,2.13,
2014-03,2.11,
2014-04,2.06,
2014-05,1.88,
2014-06,1.76,
2014-07,1.64,
2014-08,1.32,
2014-09,1.41,
2014-10,1.23,
2014-11,1.07,
2014-12,0.90,
2015-01,0.57,
