"",BBK01.OEAA35L,BBK01.OEAA35L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:29,
2002-01,5.479,
2002-04,5.369,
2002-07,5.845,
2002-10,5.515,
2003-01,5.234,
2003-04,5.559,
2003-07,5.481,
2003-10,5.470,
2004-01,5.549,
2004-04,5.881,
2004-07,5.900,
2004-10,5.774,
2005-01,5.272,
2005-04,5.515,
2005-07,5.439,
2005-10,5.080,
2006-01,4.977,
2006-04,5.049,
2006-07,5.264,
2006-10,5.069,
2007-01,4.849,
2007-04,5.703,
2007-07,5.085,
2007-10,5.227,
2008-01,4.998,
2008-04,5.113,
2008-07,5.497,
2008-10,5.420,
2009-01,5.231,
2009-04,5.162,
2009-07,5.711,
2009-10,5.815,
2010-01,5.460,
2010-04,5.388,
2010-07,5.512,
2010-10,5.651,
2011-01,5.317,
2011-04,5.411,
2011-07,5.443,
2011-10,5.474,
2012-01,5.400,
2012-04,5.331,
2012-07,5.598,
2012-10,5.562,
2013-01,5.394,
2013-04,5.505,
2013-07,5.512,
2013-10,5.543,
2014-01,5.548,
2014-04,5.616,
2014-07,5.601,
