"",BBK01.OEHL09K,BBK01.OEHL09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:24,
2002-01,0.132,
2002-04,0.126,
2002-07,0.119,
2002-10,0.112,
2003-01,0.086,
2003-04,0.080,
2003-07,0.077,
2003-10,0.074,
2004-01,0.064,
2004-04,0.065,
2004-07,0.063,
2004-10,0.063,
2005-01,0.058,
2005-04,0.058,
2005-07,0.056,
2005-10,0.055,
2006-01,0.058,
2006-04,0.059,
2006-07,0.061,
2006-10,0.061,
2007-01,0.060,
2007-04,0.063,
2007-07,0.068,
2007-10,0.073,
2008-01,0.075,
2008-04,0.073,
2008-07,0.074,
2008-10,0.065,
2009-01,0.062,
2009-04,0.061,
2009-07,0.078,
2009-10,0.074,
2010-01,0.071,
2010-04,0.055,
2010-07,0.047,
2010-10,0.044,
2011-01,0.044,
2011-04,0.047,
2011-07,0.045,
2011-10,0.045,
2012-01,0.038,
2012-04,0.033,
2012-07,0.026,
2012-10,0.018,
2013-01,0.013,
2013-04,0.022,
2013-07,0.025,
2013-10,0.031,
2014-01,0.039,
2014-04,0.049,
2014-07,0.063,
