"",BBK01.OEAC36V,BBK01.OEAC36V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:35,
2002-01,0.034,
2002-04,0.035,
2002-07,0.036,
2002-10,0.039,
2003-01,0.037,
2003-04,0.037,
2003-07,0.035,
2003-10,0.034,
2004-01,0.038,
2004-04,0.041,
2004-07,0.037,
2004-10,0.033,
2005-01,0.031,
2005-04,0.033,
2005-07,0.035,
2005-10,0.032,
2006-01,0.032,
2006-04,0.034,
2006-07,0.033,
2006-10,0.033,
2007-01,0.039,
2007-04,0.041,
2007-07,0.044,
2007-10,0.030,
2008-01,0.035,
2008-04,0.038,
2008-07,0.042,
2008-10,0.037,
2009-01,0.038,
2009-04,0.041,
2009-07,0.041,
2009-10,0.037,
2010-01,0.044,
2010-04,0.051,
2010-07,0.051,
2010-10,0.044,
2011-01,0.042,
2011-04,0.043,
2011-07,0.044,
2011-10,0.037,
2012-01,0.038,
2012-04,0.038,
2012-07,0.044,
2012-10,0.040,
2013-01,0.044,
2013-04,0.049,
2013-07,0.051,
2013-10,0.047,
2014-01,0.049,
2014-04,0.052,
2014-07,0.060,
