"",BBK01.CELA50,BBK01.CELA50_FLAGS
"",short-term debt securities                                                  debtor: OFI   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:28,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.0,
2000-10,0.0,
2001-01,0.0,
2001-04,0.0,
2001-07,0.0,
2001-10,0.0,
2002-01,0.0,
2002-04,0.0,
2002-07,0.6,
2002-10,-0.2,
2003-01,0.0,
2003-04,-0.2,
2003-07,-0.1,
2003-10,-0.2,
2004-01,0.0,
2004-04,0.0,
2004-07,0.0,
2004-10,0.0,
2005-01,0.0,
2005-04,0.0,
2005-07,0.0,
2005-10,0.0,
2006-01,0.3,
2006-04,0.1,
2006-07,0.7,
2006-10,-0.1,
2007-01,0.2,
2007-04,-0.5,
2007-07,-0.2,
2007-10,0.2,
2008-01,0.8,
2008-04,1.4,
2008-07,0.3,
2008-10,0.4,
2009-01,-0.1,
2009-04,0.3,
2009-07,0.3,
2009-10,-0.4,
2010-01,2.1,
2010-04,0.7,
2010-07,1.6,
2010-10,2.0,
2011-01,3.7,
2011-04,1.2,
2011-07,-3.2,
2011-10,-6.0,
2012-01,-0.7,
2012-04,-0.8,
2012-07,0.0,
2012-10,0.3,
2013-01,-0.1,
2013-04,0.0,
2013-07,0.1,
2013-10,0.3,
2014-01,-0.3,
2014-04,-0.3,
2014-07,0.2,
