"",BBDE1.M.DE.Y.AEN5.A2P350000.F.C.I10.A,BBDE1.M.DE.Y.AEN5.A2P350000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At constant prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:07,
2010-01,98.2,
2010-02,94.4,
2010-03,99.0,
2010-04,98.2,
2010-05,101.1,
2010-06,102.5,
2010-07,98.9,
2010-08,99.6,
2010-09,98.6,
2010-10,102.2,
2010-11,101.4,
2010-12,101.1,
2011-01,103.7,
2011-02,104.9,
2011-03,103.5,
2011-04,106.1,
2011-05,103.0,
2011-06,100.3,
2011-07,107.3,
2011-08,100.4,
2011-09,100.6,
2011-10,100.9,
2011-11,102.0,
2011-12,102.2,
2012-01,102.6,
2012-02,99.2,
2012-03,108.1,
2012-04,100.7,
2012-05,108.0,
2012-06,108.4,
2012-07,106.7,
2012-08,108.1,
2012-09,107.9,
2012-10,106.5,
2012-11,106.2,
2012-12,110.1,
2013-01,101.4,
2013-02,102.5,
2013-03,102.0,
2013-04,110.9,
2013-05,107.4,
2013-06,105.4,
2013-07,108.2,
2013-08,106.4,
2013-09,115.4,
2013-10,112.2,
2013-11,116.9,
2013-12,111.7,
2014-01,115.1,
2014-02,115.4,
2014-03,104.5,
2014-04,115.4,
2014-05,114.9,
2014-06,112.5,
2014-07,107.6,
2014-08,116.0,
2014-09,114.7,
2014-10,113.7,
2014-11,117.9,
2014-12,111.8,Provisional value
