"",BBK01.CEFS02,BBK01.CEFS02_FLAGS
"",Savings certificates                                                        debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:57,
1999-01,79.1,
1999-04,82.6,
1999-07,85.6,
1999-10,87.1,
2000-01,89.9,
2000-04,91.4,
2000-07,92.2,
2000-10,92.4,
2001-01,93.4,
2001-04,93.7,
2001-07,93.5,
2001-10,89.8,
2002-01,88.9,
2002-04,88.8,
2002-07,88.2,
2002-10,87.5,
2003-01,86.8,
2003-04,86.5,
2003-07,85.9,
2003-10,85.9,
2004-01,85.4,
2004-04,84.3,
2004-07,84.6,
2004-10,84.9,
2005-01,86.2,
2005-04,90.0,
2005-07,89.4,
2005-10,87.7,
2006-01,86.5,
2006-04,85.0,
2006-07,84.0,
2006-10,82.2,
2007-01,81.2,
2007-04,80.1,
2007-07,79.2,
2007-10,77.9,
2008-01,75.8,
2008-04,74.5,
2008-07,71.9,
2008-10,69.6,
2009-01,67.3,
2009-04,65.4,
2009-07,64.0,
2009-10,62.3,
2010-01,61.7,
2010-04,61.0,
2010-07,61.8,
2010-10,58.8,
2011-01,56.6,
2011-04,55.6,
2011-07,55.1,
2011-10,53.8,
2012-01,52.0,
2012-04,50.2,
2012-07,49.0,
2012-10,47.7,
2013-01,46.7,
2013-04,44.9,
2013-07,43.7,
2013-10,42.0,
2014-01,39.8,
2014-04,38.6,
2014-07,38.8,
